Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"23,284 EUR (589,000 CZK)",Volvo,Xc60,2.4 D4 AWD,"94,402 km",2017,Diesel,Crossover,Silver,Liberec,140 kW (190 HP),Automatic,https://www.annonce.cz/inzerat/volvo-xc60-d4-awd-2-4-72900747-w7sbhk.html,
"11,859 EUR (299,999 CZK)",Subaru,Xv,i,"121,471 km",2012,Petrol,Crossover,Gray,Olbramovice,110 kW (150 HP),Automatic,https://www.automodul.cz/subaru-xv-2-0-i-110kw-comfort-cvt-awd-c2724777,
"27,632 EUR (699,000 CZK)",Bmw,X5,D,"147,181 km",2014,Diesel,Suv,Black,Praha,280 kW (381 HP),Automatic,https://www.annonce.cz/inzerat/bmw-x5-4x4-3-0d-at-72950459-w1gezj.html,
"6,680 EUR (169,000 CZK)",Jeep,Compass,2.2 crd,"203,170 km",2011,Diesel,Crossover,Black,Praha,120 kW (163 HP),Manual,https://autocaris.cz/detail.php?inzerat=732032,
"5,332 EUR (134,900 CZK)",Kia,Sorento,2.5 CRDi,"211,500 km",2006,Diesel,Suv,Black,Praha,103 kW (140 HP),Automatic,https://yauto.cz/kia/sorento/14-i-hatchback-benzin-526631/,
"14,824 EUR (375,000 CZK)",Škoda,Superb,1.4 TSI,"147,743 km",2015,Petrol,Sedan,Silver,Praha,110 kW (150 HP),Manual,https://yauto.cz/skoda/superb/14tsi-liftback-benzin-867686/,
"16,128 EUR (408,000 CZK)",Volkswagen,Touran,2.0 TDI,"143,175 km",2017,Diesel,Mpv,Blue,Tábor,110 kW (150 HP),Manual,https://yauto.cz/volkswagen/touran/20-tdi-110-kw-highline-zaruka-az-5-let-mpv-nafta-854968/,
"6,720 EUR (169,999 CZK)",Hyundai,Ix35,2.0 CRDi,"243,721 km",2010,Diesel,Crossover,Red,Olbramovice,135 kW (184 HP),Manual,https://autocaris.cz/detail.php?inzerat=744393,
"27,668 EUR (699,900 CZK)",Bmw,X5,30d,"163,705 km",2016,Diesel,Suv,Silver,Praha,190 kW (258 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X5/X5-30d-xDrive-SUV-1708709753586166.html,
"17,789 EUR (449,999 CZK)",Mercedes Benz,S-Class,350 CDI,"144,088 km",2010,Diesel,Sedan,Gray,Olbramovice,190 kW (258 HP),Automatic,https://www.automodul.cz/mercedes-trida-s-3-0-s-350-190kw-avantgarde-c2591010,
"51,387 EUR (1,299,900 CZK)",Audi,S8,4.0 TFSI,"125,905 km",2016,Petrol,Sedan,White,Praha,445 kW (605 HP),Automatic,https://www.sportovnivozy.cz/189320-audi-s8-tfsi-quattro-plus-night-2016,
"23,715 EUR (599,900 CZK)",Škoda,Superb,2.0 TSI,"164,105 km",2019,Petrol,Sedan,Gray,Praha,200 kW (272 HP),Automatic,https://www.automodul.cz/skoda-superb-2-0-tsi-200kw-dsg-4x4-l-k-acc-c2728426,
"6,483 EUR (164,000 CZK)",Citroen,C4,1.6 HDi,"123,767 km",2013,Diesel,Hatchback,Gray,Kroměříž,68 kW (92 HP),Manual,https://autocaris.cz/detail.php?inzerat=735339,
