Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Toyota,Corolla,1.8,2023,Petrol,Sedan,Black,Wien,Automatic,https://www.zweispurig.at/toyota-corolla-vorfuehrwagen-benzin-schwarz-wien/details-1145708,29790,5555,73.0,6,Austria
Opel,Grandland X,1.2,2020,Petrol,Suv,White,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311637,22800,55000,97.0,6,Austria
Mercedes Benz,Gle-Class,350,2020,Diesel,Suv,White,Salzburg,Automatic,https://www.zweispurig.at/mercedes-benz-gle-gebrauchtwagen-diesel-weiss-salzburg/details-1185830,71890,79681,202.0,6,Austria
Volkswagen,Tiguan,2.0,2023,Diesel,Crossover,Gray,Wien,Automatic,https://www.dasweltauto.at/vehicle/15053647,47290,9626,111.0,6,Austria
Hyundai,I30,1.4,2018,Petrol,Wagon,Silver,Linz,Manual,https://www.gebrauchtwagen.at/fahrzeuge/hyundai-i30-cw-1-4-mpi-start-stopp-edition-25-navi-rueckfah-benzin/ba54d3a8-fca4-4552-b339-cba755cbedf2,14190,67900,75.0,6,Austria
Audi,Q2,1.0 30 TFSI,2023,Petrol,Crossover,White,Kufstein,Manual,https://www.dasweltauto.at/vehicle/70700238,28390,6575,82.0,6,Austria
Bmw,X1,xDrive18d,2017,Diesel,Suv,Silver,Linz,Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510866-bmw-x1-xdrive18d-m-sporthead-up-display.html,23490,95600,111.0,6,Austria
Land Rover,Range Rover Velar,2.0,2022,Diesel,Suv,Blue,Linz,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/land-rover-range-rover-velar-d200-mhev-allrad-se-diesel/ca29fffd-9ecc-4edb-822a-507378917440,64900,24900,152.0,6,Austria
Nissan,Micra,1.0,2019,Petrol,Mini,Blue,Stockerau,Manual,https://www.zweispurig.at/nissan-micra-gebrauchtwagen-benzin-blau-niederoesterreich/details-1246754,11890,14800,75.0,6,Austria
Audi,Q7,3.0,2015,Diesel,Suv,Gray,Hallein,Automatic,https://www.zweispurig.at/audi-q7-gebrauchtwagen-diesel-grau-salzburg/details-1218591,39990,154500,202.0,6,Austria
Škoda,Rapid,1.6 TDI,2013,Diesel,Sedan,Blue,Steyr,Manual,https://www.zweispurig.at/skoda-rapid-gebrauchtwagen-diesel-blau-oberoesterreich/details-1235449,8999,113000,78.0,5,Austria
Ford,Ecosport,1.0,2019,Petrol,Suv,Gray,Hollabrunn,Manual,https://www.zweispurig.at/ford-ecosport-gebrauchtwagen-benzin-grau-niederoesterreich/details-1226181,15990,65566,93.0,6,Austria
Suzuki,Vitara,1.4,2023,Petrol,Suv,Yellow,Telfs,Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-gelb-tirol/details-1226738,23900,15590,96.0,6,Austria
Suzuki,Vitara,1.4,2023,Petrol,Suv,Gray,Telfs,Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-grau-tirol/details-1226729,23900,12450,96.0,6,Austria
Mazda,Cx-30,2.0,2020,Petrol,Crossover,Red,Salzburg,Manual,https://www.zweispurig.at/mazda-cx-30-gebrauchtwagen-benzin-rot-salzburg/details-1238807,21990,27000,90.0,6,Austria
Peugeot,5008,1.2 puretech,2020,Petrol,Mpv,Black,Graz,Automatic,https://www.zweispurig.at/peugeot-5008-gebrauchtwagen-benzin-schwarz-steiermark/details-1192662,29900,35000,97.0,6,Austria
Mercedes Benz,Amg Gt,3.0 53,2019,Petrol,Sedan,Blue,Wien,Semi Automatic,https://www.zweispurig.at/mercedes-benz-amg-gt-gebrauchtwagen-benzin-blau-wien/details-1199186,84220,150492,324.0,6,Austria
Seat,Arona,1.0 tsi,2023,Petrol,Crossover,White,Klagenfurt,Automatic,https://www.dasweltauto.at/vehicle/60300026,28490,14783,82.0,6,Austria
Mercedes Benz,C-Class,200 D,2018,Diesel,Wagon,Black,Salzburg,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-salzburg/details-1223918,22990,134315,111.0,6,Austria
Seat,Leon,2.0 TSI,2024,Petrol,Hatchback,Gray,Wien,Automatic,https://www.dasweltauto.at/vehicle/11126097,38220,258,141.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Gray,Wien,Manual,https://www.dasweltauto.at/vehicle/13125589,30220,258,97.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Gray,Wien,Manual,https://www.dasweltauto.at/vehicle/11126089,29720,258,97.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Red,Wien,Manual,https://www.dasweltauto.at/vehicle/13125592,29420,258,97.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Gray,Wien,Manual,https://www.dasweltauto.at/vehicle/13125588,28220,258,97.0,6,Austria
Seat,Leon,1.5 eTSI,2024,Petrol,Hatchback,White,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311588,34500,201,111.0,6,Austria
Seat,Leon,1.0 tsi,2024,Petrol,Hatchback,Black,Bruck An Der Mur,Manual,https://www.zweispurig.at/seat-leon-vorfuehrwagen-benzin-schwarz-steiermark/details-1191786,26690,200,82.0,6,Austria
Seat,Leon,1.0 tsi,2024,Petrol,Hatchback,Black,Bruck An Der Mur,Manual,https://www.zweispurig.at/seat-leon-vorfuehrwagen-benzin-schwarz-steiermark/details-1207912,27990,100,82.0,6,Austria
