Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Peugeot,307 Cc,2007,Petrol,Convertible,Blue,Oslo,Manual,https://www.finn.no/car/used/ad.html?finnkode=314197004,1.6,4,6014.0,112953,81.0,Norway
Bmw,X5,2011,Diesel,Suv,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343886591,D,5,20565.0,218000,182.0,Norway
Ford,Galaxy,2016,Diesel,Mpv,Gray,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=343891914,2.0 Duratorq,6,15393.0,153000,111.0,Norway
Mercedes Benz,C-Class,2019,Diesel,Wagon,Black,Sandnes,Manual,https://www.finn.no/car/used/ad.html?finnkode=342934426,200D,6,27526.0,149900,119.0,Norway
Volkswagen,Caddy,2019,Petrol,Pickup,White,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=343882888,1.4,6,14542.0,86890,93.0,Norway
Bmw,X4m,2018,Petrol,Suv,Black,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=335032381,40i,6,48961.0,94820,268.0,Norway
Volkswagen,Passat,2015,Diesel,Wagon,Silver,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344897560,1.6 TDI,6,13681.0,103000,78.0,Norway
Volkswagen,Caddy,2019,Petrol,Pickup,White,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=343882979,1.4,6,15402.0,57000,93.0,Norway
Volvo,Xc60,2015,Diesel,Crossover,White,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343923100,2.4 D5,6,29170.0,113000,134.0,Norway
Volvo,Xc60,2015,Diesel,Crossover,Gray,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344856247,2.4 D4 AWD,6,30108.0,108000,121.0,Norway
Volkswagen,Touran,2018,Petrol,Mpv,Silver,Arendal,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344662836,1.4,6,23921.0,59609,111.0,Norway
Mercedes Benz,Cls-Class,2009,Diesel,Sedan,White,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=345002066,320 CDI,5,13767.0,238400,167.0,Norway
Ford,Kuga,2014,Diesel,Suv,Gray,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=345236485,2.0 TDCi,6,13759.0,148000,104.0,Norway
Bmw,3 Series,2006,Petrol,Coupe,Gray,Kongsvinger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341708385,325i,4,11616.0,191800,162.0,Norway
Bmw,M5,2005,Petrol,Sedan,Black,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343188178,5.0 v10,4,38635.0,141700,378.0,Norway
Nissan,Nv,2017,Diesel,Van,Gray,Ski,Manual,https://www.finn.no/car/used/ad.html?finnkode=345073170,1.5,6,9464.0,109000,82.0,Norway
Dodge,Ram 1500,2020,Petrol,Pickup,Black,Ski,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342170476,5.7,6,60224.0,59000,295.0,Norway
Porsche,911,2015,Petrol,Coupe,Silver,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=275649042,3.8,6,145421.0,22980,417.0,Norway
Mazda,3,2012,Diesel,Hatchback,White,Stavanger,Manual,https://www.finn.no/car/used/ad.html?finnkode=335880841,1.6,5,5937.0,169000,86.0,Norway
Peugeot,3008,2011,Diesel,Crossover,White,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=321420334,1.6,5,5937.0,227900,82.0,Norway
Chevrolet,Camaro,2017,Petrol,Coupe,Gray,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=310887734,6.2,6,77357.0,15698,343.0,Norway
Ford,Transit,2015,Diesel,Van,White,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=343078445,2.2,6,8518.0,167000,93.0,Norway
Tesla,Model S,2018,Electric,Sedan,Silver,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=337467541,electro,6,23060.0,120000,391.0,Norway
Toyota,Avensis,2013,Petrol,Wagon,Red,Jessheim,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344706534,1.8 VVT-i,5,11960.0,152000,109.0,Norway
Audi,A6,2015,Diesel,Wagon,Blue,Gjøvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342055488,3.0 TDI Quattro,6,34333.0,147475,202.0,Norway
Bmw,7 Series,2016,Petrol,Sedan,Black,Bryne,Automatic,https://www.finn.no/car/used/ad.html?finnkode=329729093,750i,6,56705.0,109512,334.0,Norway
Porsche,Taycan,2020,Electric,Sedan,White,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=338744892,Turbo,6,77434.0,57900,516.0,Norway
Bmw,7 Series,2018,Petrol,Sedan,Black,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=329720401,750Li xDrive,6,71333.0,60000,334.0,Norway
Bmw,3 Series,2008,Diesel,Convertible,Blue,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344772717,320d,4,20642.0,139000,131.0,Norway
Bmw,X5,2013,Diesel,Suv,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343917968,xDrive30d,5,25728.0,160000,182.0,Norway
Ford,Transit,2017,Petrol,Van,White,Arendal,Manual,https://www.finn.no/car/used/ad.html?finnkode=341341019,2.0,6,27449.0,100600,126.0,Norway
Porsche,Taycan,2021,Electric,Sedan,Black,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=319016670,4S,6,85101.0,35000,425.0,Norway
Škoda,Octavia,2017,Petrol,Wagon,Gray,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344898303,1.8 TSI,6,18844.0,126000,133.0,Norway
Jaguar,I-Pace,2019,Electric,Suv,Gray,Arendal,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344662689,EV400S,6,25728.0,126500,298.0,Norway
Land Rover,Range Rover Sport,2018,Diesel,Suv,Gray,Tønsberg,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344997065,3.0 SDV6,6,82175.0,86000,228.0,Norway
Volkswagen,Passat,2012,Diesel,Wagon,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344548484,2.0 TDI SCR,5,7916.0,211000,104.0,Norway
Mercedes Benz,E-Class,2014,Petrol,Wagon,Black,Tromsø,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340249609,63 AMG,6,59287.0,112247,436.0,Norway
Ford,Transit Custom,2020,Diesel,Van,White,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=345167795,2.0,6,18928.0,141000,126.0,Norway
Volvo,V60,2015,Diesel,Wagon,Gray,Kristiansand,Manual,https://www.finn.no/car/used/ad.html?finnkode=345076414,1.6 D2,6,12038.0,131940,85.0,Norway
Mercedes Benz,S-Class,2017,Petrol,Sedan,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343081055,63 AMG,6,91985.0,66000,436.0,Norway
Škoda,Octavia,2010,Diesel,Wagon,Black,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344980862,1.6 TDI,5,5076.0,224000,78.0,Norway
Maserati,Granturismo,2010,Petrol,Coupe,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=319256524,4.7,5,57566.0,102000,327.0,Norway
Bmw,X5,2015,Diesel,Suv,Gray,Kristiansand,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341478685,xDrive40d,6,44736.0,168500,233.0,Norway
Škoda,Octavia,2011,Petrol,Wagon,Gray,Jessheim,Automatic,https://www.finn.no/car/used/ad.html?finnkode=345109066,1.4 TSI,5,5937.0,175000,90.0,Norway
Škoda,Octavia,2011,Petrol,Wagon,White,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341546654,1.2 TFSI,5,7658.0,171000,78.0,Norway
Nissan,Qashqai,2011,Diesel,Crossover,Violet,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=343809600,1.5 dCi,5,6014.0,217450,82.0,Norway
Tesla,Model Y,2022,Electric,Suv,White,Sarpsborg,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340168418,electro,6,43712.0,53000,398.0,Norway
Mercedes Benz,C-Class,2012,Diesel,Sedan,White,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=324298481,200 CDI,5,11444.0,152000,101.0,Norway
Tesla,Model Y,2022,Electric,Suv,Red,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342293710,0.0 long range,6,43884.0,35000,383.0,Norway
Tesla,Model Y,2022,Electric,Suv,White,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341354460,0.0 performance,6,46218.0,19900,398.0,Norway
Nissan,Qashqai,2013,Petrol,Crossover,Brown,Jessheim,Manual,https://www.finn.no/car/used/ad.html?finnkode=342962433,1.6,5,6797.0,179000,87.0,Norway
Ford,Mondeo,2011,Diesel,Wagon,White,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=344575117,2.2 TDCi,5,10239.0,146000,149.0,Norway
Citroen,C3,2010,Petrol,Hatchback,Blue,Stavanger,Manual,https://www.finn.no/car/used/ad.html?finnkode=339461172,1.4 VTi,5,5076.0,146000,70.0,Norway
Bmw,X5,2017,Diesel,Suv,Gray,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=334572206,40d,6,48100.0,141000,233.0,Norway
Bmw,X5,2017,Diesel,Suv,Black,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341004420,xDrive40d,6,55513.0,135000,233.0,Norway
Bmw,X5,2017,Diesel,Suv,Black,Sarpsborg,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343979980,40d,6,51620.0,126000,233.0,Norway
Volkswagen,Cc,2012,Diesel,Sedan,Gray,Kjenner,Automatic,https://www.finn.no/car/used/ad.html?finnkode=334250825,2.0 TDI,5,11112.0,177000,126.0,Norway
Volkswagen,Transporter,2016,Diesel,Van,Silver,As,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344988789,2.4,6,17123.0,220000,111.0,Norway
