Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Citroen,C5 Aircross,2023,Diesel,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1150/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,24195.73,30900,97.0,Switzerland
Mercedes Benz,Eqc,2023,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/116/mercedes-eqc-400-amg-line-4matic-408ps-automat?&page_number=4,400,6,50408.200000000004,20900,304.0,Switzerland
Volkswagen,Arteon,2022,Petrol,Wagon,Silver,NA,Automatic,https://www.azw.ch/de/angebot/1185/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 TSI,6,38734.18,4200,141.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1092/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35550.450000000004,11700,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1098/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35550.450000000004,10400,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1100/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35550.450000000004,9900,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1099/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35550.450000000004,9600,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1096/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35550.450000000004,8900,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1097/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,36612.38,4900,231.0,Switzerland
Škoda,Kodiaq,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1169/skoda-kodiaq-2-0-tsi-4x4-style-7-plaetzer-dsg-automat?&page_number=7,2.0 2.0 4x4 tsi,6,40114.380000000005,28600,141.0,Switzerland
Seat,Tarraco,2022,Petrol,Suv,Blue,NA,Automatic,https://www.azw.ch/de/angebot/1196/seat-tarraco-2-0tsi-xcellence-4drive-dsg-automat?&page_number=6,2.0 TSi 4Drive,6,36930.65,26100,141.0,Switzerland
Ds Automobiles,Ds 3 Crossback,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1195/ds-automobiles-ds-3-crossback-1-2-pt-performance-line-eat-automat?&page_number=3,1.2,6,24089.64,12100,96.0,Switzerland
Volkswagen,Tiguan,2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4064407,2.0 TSI,6,53039.85,22200,238.0,Switzerland
Volkswagen,Tiguan,2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4070945,2.0 TSI,6,53889.6,19700,238.0,Switzerland
Volkswagen,Tiguan,2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4131418,2.0 TSI,6,54101.78,18700,238.0,Switzerland
Peugeot,5008,2012,Diesel,Mpv,White,Basel,Automatic,https://www.autolina.ch/auto/peugeot-5008/4087534,1.6 HDi,5,7110.09,195000,83.0,Switzerland
Bmw,X5,2012,Diesel,Suv,Gray,Basel,Automatic,https://www.autolina.ch/auto/bmw-x5/4101528,40d,5,16968.22,166000,228.0,Switzerland
Land Rover,Range Rover Sport,2017,Petrol,Suv,Black,St Gallen,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-sport/4105874,5.0,6,61434.35,89950,380.0,Switzerland
Suzuki,Vitara,2015,Petrol,Suv,Black,Stans,Manual,https://www.autolina.ch/auto/suzuki-vitara/4067232,1.6,6,12681.36,150000,89.0,Switzerland
Peugeot,508,2019,Diesel,Sedan,Blue,Wohlen,Automatic,https://www.autolina.ch/auto/peugeot-508/4081626,2.0,6,25457.48,84010,134.0,Switzerland
Volkswagen,Golf,2015,Petrol,Sedan,Black,Zurich,Automatic,https://www.autolina.ch/auto/vw-golf/4107959,2.0 R,6,29236.55,64550,224.0,Switzerland
Porsche,911,2002,Petrol,Coupe,Blue,Zurich,Automatic,https://www.autolina.ch/auto/porsche-911/4106118,3.6,3,42343.3,173500,238.0,Switzerland
Seat,Ateca,2019,Petrol,Suv,White,St Gallen,Automatic,https://www.autolina.ch/auto/seat-ateca/4109060,2.0 TSI,6,33842.71,78800,223.0,Switzerland
Bmw,3 Series,2013,Petrol,Wagon,Blue,Stäfa,Automatic,https://www.autolina.ch/auto/bmw-335/4094009,335i,5,26318.56,142200,228.0,Switzerland
Porsche,Macan,2019,Petrol,Suv,Gray,Stäfa,Automatic,https://www.autolina.ch/auto/porsche-macan/4111519,3.0 s,6,63451.090000000004,77400,263.0,Switzerland
Peugeot,508,2018,Petrol,Sedan,Blue,Stäfa,Automatic,https://www.autolina.ch/auto/peugeot-508/4043180,1.6 puretech,6,35444.36,41800,167.0,Switzerland
Bmw,X3,2005,Diesel,Suv,Gray,Basel,Automatic,https://www.autolina.ch/auto/bmw-x3/4103548,D,4,5093.35,199000,152.0,Switzerland
Land Rover,Range Rover Sport,2014,Petrol,Suv,Black,Zurich,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-sport/4072775,5.0,6,33842.71,139000,380.0,Switzerland
Jeep,Grand Cherokee,2020,Petrol,Suv,White,Zurich,Automatic,https://www.autolina.ch/auto/jeep-grand-cherokee/4114018,6.4 SRT8,6,58356.71,81350,348.0,Switzerland
Peugeot,207 Cc,2011,Petrol,Convertible,Gray,Altstätten,Manual,https://www.autolina.ch/auto/peugeot-207/4107673,1.6,5,8383.17,77000,116.0,Switzerland
Volvo,S60,2015,Diesel,Sedan,Gray,Basel,Automatic,https://www.autolina.ch/auto/volvo-s60/4099162,2.0 D4,6,19091.05,87000,141.0,Switzerland
Volkswagen,Golf,2023,Petrol,Sedan,Silver,Zurich,Automatic,https://www.autolina.ch/auto/vw-golf/4107961,2.0 R,6,39848.64,11150,142.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,White,Winterthur,Automatic,https://www.autolina.ch/auto/cupra-formentor/4121423,2.0 TSI,6,33736.62,25917,142.0,Switzerland
Opel,Mokka,2014,Petrol,Crossover,Blue,Stans,Manual,https://www.autolina.ch/auto/opel-mokka/4067233,1.4,6,10399.91,144000,104.0,Switzerland
Mercedes Benz,Glc-Class,2022,Petrol,Suv,Black,Zurich,Automatic,https://www.autolina.ch/auto/mercedes-benz-glc-63-amg/4111385,63 AMG,6,84792.69,21900,354.0,Switzerland
Honda,Cr-V,2019,Petrol,Suv,Gray,Stans,Automatic,https://www.autolina.ch/auto/honda-cr-v/4067227,1.5,6,26424.65,92000,143.0,Switzerland
Volkswagen,Golf,2016,Petrol,Sedan,Black,Basel,Automatic,https://www.autolina.ch/auto/vw-golf/4091653,2.0 GTI,6,23335.68,108000,171.0,Switzerland
Jeep,Compass,2020,Petrol,Crossover,Silver,Winterthur,Automatic,https://www.autolina.ch/auto/jeep-compass/4121408,1.4,6,27463.920000000002,32140,126.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,White,Winterthur,Automatic,https://www.autolina.ch/auto/cupra-formentor/4094947,2.0 tsi vz,6,39042.15,7000,231.0,Switzerland
Maserati,Quattroporte,2015,Petrol,Sedan,Blue,Zurich,Automatic,https://www.autolina.ch/auto/maserati-quattroporte/4067848,3.0 S Q4,6,37132.53,88200,306.0,Switzerland
Bmw,Z4,2019,Petrol,Convertible,Red,Zug,Automatic,https://www.autolina.ch/auto/bmw-z4/4096357,30i sDrive,6,44359.01,51500,192.0,Switzerland
Hyundai,Tucson,2018,Petrol,Suv,White,Stans,Automatic,https://www.autolina.ch/auto/hyundai-tucson/4104600,1.6 GDi,6,26424.65,63000,131.0,Switzerland
