Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"51,694 EUR (55,900 USD)",Peugeot,508,2.0 bluehdi,"159,713 km",2016,Diesel,Sedan,Gray,Aleksandrów Łódzki,110 kW (150 HP),Automatic,https://automotodeal.pl/508/peugeot-508--20-bluehdi-150-km-salon-pl-i-wlgwarancjaleasing-full-lednavi.html
"11,004 EUR (11,900 USD)",Opel,Meriva,1.4,"186,000 km",2008,Petrol,Mpv,Blue,Nowa Ruda,66 kW (90 HP),Manual,https://automotodeal.pl/i-2002-2010/opel-meriva-gotowy-do-rejestracji-i.html
"51,694 EUR (55,900 USD)",Kia,Picanto,1.0,10 km,2021,Petrol,Mini,Gray,Bełchatów,49 kW (67 HP),Automatic,https://automotodeal.pl/picanto/kia-picanto-10-dpi-5mt-67-km-wersjal--businessline-navi-smartkey-led.html
"38,747 EUR (41,900 USD)",Seat,Ibiza,1.0,"137,138 km",2017,Petrol,Hatchback,White,Gdańsk,55 kW (75 HP),Manual,https://automotodeal.pl/ibiza/seat-ibiza-salonpl-aso-vat23procent-klimatyzacja-elszyby-isofix-bluetooth-usb.html
"12,854 EUR (13,900 USD)",Peugeot,207,1.4,"140,044 km",2009,Petrol,Hatchback,Red,Cieszyn,69 kW (94 HP),Manual,https://automotodeal.pl/207/peugeot-207-14-benzyna-95-km-5-drzwi-klimatyzacja.html
"54,468 EUR (58,900 USD)",Peugeot,508,2.0 bluehdi,"123,489 km",2017,Diesel,Sedan,Gray,Gdańsk,110 kW (150 HP),Automatic,https://automotodeal.pl/peugeot/peugeot-508-sw-peugeot-508sw-20bluehdi-150km-panorama-dach.html
"95,158 EUR (102,900 USD)",Mercedes Benz,C-Class,300,"44,000 km",2016,Petrol,Sedan,Silver,Głogówek,180 kW (245 HP),Automatic,https://automotodeal.pl/osobowe/mercedes-c-300-c-klasa-c300-245-km-amg-alu-18-aso-keylessgo-2016-r.html
"15,254 EUR (65,900 PLN)",Toyota,Auris,1.6 VVT-i,132 km,2017,Petrol,Hatchback,Black,Szczecin,98 kW (133 HP),Manual,https://www.autotrader.pl/oferta/toyota-auris-szczecin-1001481692
"67,900 EUR",Audi,Q5,2.0,"194,255 km",2012,Petrol,Suv,Black,Częstochowa,155 kW (211 HP),Manual,https://automotodeal.pl/q5/audi-q5-20i-nowy-silnik-50tys-km-100procentbezwypadkowy-idealny-z-niemiec-oplacony.html
"17,478 EUR (18,900 USD)",Volvo,V70,2.4,"230,000 km",2005,Diesel,Wagon,Black,Lublin,136 kW (185 HP),Automatic,https://automotodeal.pl/ii-1999-2007/volvo-v70-185-koni-oryginal-d5-przebieg-230tys-serwisowany-manual-wzorowy.html
"9,155 EUR (9,900 USD)",Mini,One,1.6,"227,000 km",2004,Petrol,Mini,Black,Błonie,66 kW (90 HP),Manual,https://automotodeal.pl/mini1/mini-one-16-benzyna-90km-navi-kamera-android-klima.html
"53,544 EUR (57,900 USD)",Peugeot,2008,1.2 vti,"154,610 km",2016,Petrol,Crossover,White,Myślenice,80 kW (109 HP),Automatic,https://automotodeal.pl/2008/peugeot-2008-crossway-fv-vat-marza-gwarancja-dostawa-w-cenie.html
"22,102 EUR (23,900 USD)",Mitsubishi,Lancer,1.8,"169,309 km",2008,Petrol,Sedan,Silver,Chełmno,105 kW (143 HP),Automatic,https://automotodeal.pl/viii-2007-/mitsubishi-lancer-18-ben-automat-143-km.html
"20,252 EUR (21,900 USD)",Volvo,V70,2.4,"266,000 km",2007,Diesel,Wagon,Black,Lublin,136 kW (185 HP),Automatic,https://automotodeal.pl/v70/volvo-v70-sprzedam-ladne-volvo-v-70-4x4.html
"15,711 EUR (16,990 USD)",Peugeot,5008,1.6 HDi,"220,000 km",2010,Diesel,Mpv,Blue,Piła,80 kW (109 HP),Manual,https://automotodeal.pl/5008/peugeot-5008-16-hdiklimaalupelna-elektrykarolety7osobzadbanyzarejestrowany.html
"18,402 EUR (19,900 USD)",Mini,One,1.4,"171,458 km",2007,Petrol,Mini,Silver,Gdańsk,69 kW (94 HP),Manual,https://automotodeal.pl/mini1/mini-one--alufelgi-elektryczne-szyby-klimatyzacja-isofixelektryczne-luster.html
"12,854 EUR (13,900 USD)",Opel,Corsa,1.2,"179,000 km",2007,Petrol,Hatchback,Silver,Mikołów,58 kW (79 HP),Manual,https://automotodeal.pl/dcorsa/opel-corsa-klimatyzacja--gwarancja---2007---12---80km.html
"7,305 EUR (7,900 USD)",Bmw,3 Series,320,"190,003 km",1999,Petrol,Sedan,Black,Tomaszów Mazowiecki,139 kW (189 HP),Automatic,https://automotodeal.pl/bmw/bmw-320-e46-20-szyberdach-klimatronic-automat.html
"46,146 EUR (49,900 USD)",Ford,Kuga,2.0 TDCi,"180,000 km",2014,Diesel,Suv,Black,Częstochowa,102 kW (139 HP),Manual,https://automotodeal.pl/kuga/ford-kuga-20d-skora-klimatronik-alu-asysparkowania-serwis-4x4-vip-gwarancja.html
"15,628 EUR (16,900 USD)",Mercedes Benz,A-Class,150,"193,195 km",2008,Petrol,Hatchback,Blue,Cieszyn,69 kW (94 HP),Manual,https://automotodeal.pl/osobowe/mercedes-a-150-15-benzyna-95-km-avantgarde-klimatronic-panorama-dach-navi-kredyt.html
"31,349 EUR (33,900 USD)",Peugeot,5008,1.6,"148,000 km",2011,Diesel,Mpv,Black,Sulechów,82 kW (112 HP),Manual,https://automotodeal.pl/5008/peugeot-5008-148-tys-km--panorama-serwisowany--manual-bezwypadkowy7-osob-film.html
"77,033 EUR (83,300 USD)",Renault,Talisman,1.6 tce,"74,125 km",2018,Petrol,Sedan,Red,Piaseczno,110 kW (150 HP),Automatic,https://automotodeal.pl/talisman/renault-talisman-16-energy-tce-zen-edc-sedan-ww546yg.html
"29,233 EUR (126,290 PLN)",Mitsubishi,Colt,1.6,143 km,2023,Hybrid,Hatchback,Red,Szczecin,,Automatic,https://www.gezet.pl/oferty/samochody/mitsubishi-colt-instyle-1-6-hev-143-km-at-52404
"12,854 EUR (13,900 USD)",Alfa Romeo,159,1.9 JTS,"211,536 km",2006,Petrol,Sedan,Black,Tomaszów Mazowiecki,117 kW (159 HP),Manual,https://automotodeal.pl/159/alfa-romeo-159-19-jts-bogate-wyposazenie-jasne-skory-bardzo-dobry-stan-techniczny.html
"12,854 EUR (13,900 USD)",Opel,Corsa,1.4,"198,000 km",2009,Petrol,Hatchback,White,Lublin,66 kW (90 HP),Manual,https://automotodeal.pl/dcorsa/opel-corsa-14-benzyna-limitowana-edycja-piekna-serwisowana-bezwypadkowa.html
"12,854 EUR (13,900 USD)",Opel,Corsa,1.2,"156,000 km",2009,Petrol,Hatchback,Blue,Mogilno,58 kW (79 HP),Manual,https://automotodeal.pl/dcorsa/opel-corsa-bezwypadkowa-jeden-wlasciciel--serwis--calkowicie-oplacona-.html
"26,725 EUR (28,900 USD)",Opel,Astra,1.6,"66,150 km",2011,Petrol,Hatchback,Silver,Łuków,85 kW (116 HP),Automatic,https://automotodeal.pl/astra/opel-astra-16i-16v-115km-automat-klima-oplacony.html
"21,268 EUR (22,999 USD)",Renault,Scenic,1.4,"155,732 km",2010,Petrol,Mpv,Gray,Świebodzin,95 kW (129 HP),Automatic,https://automotodeal.pl/iii-(2009-2016)/renault-scenic-14-130km-nawigacja-klimatronic-tempomat-pdc.html
"17,015 EUR (18,400 USD)",Volkswagen,Polo,1.2,"136,841 km",2010,Petrol,Hatchback,Black,Chełmno,44 kW (60 HP),Manual,https://automotodeal.pl/polo/volkswagen-polo-klima-234082256.html
"43,371 EUR (46,900 USD)",Škoda,Superb,1.4 TSI,"189,000 km",2015,Petrol,Wagon,Beige,Nowe,80 kW (109 HP),Manual,https://automotodeal.pl/osobowe/Skoda-superb-14-tsi-125-km-xenon-podgrzewane-fotele-czujniki-park-bezwypadkowy.html
"26,725 EUR (28,900 USD)",Hyundai,I30,1.6 CRDi,"244,791 km",2013,Diesel,Hatchback,Black,Chełmno,80 kW (109 HP),Manual,https://automotodeal.pl/i30/hyundai-i30-16-crdi-110km-klima-serwis-led-.html
"34,124 EUR (36,900 USD)",Toyota,Prius,1.8,"402,000 km",2015,Hybrid,Hatchback,Black,Koło,99 kW (135 HP),Manual,https://automotodeal.pl/prius/toyota-prius-18-hsd-136km-skora-jbl-head-up-kamera-navi-pelny-serwis.html
"31,257 EUR (33,800 USD)",Ford,C-Max,2.0,"150,968 km",2014,Diesel,Mpv,Silver,Częstochowa,84 kW (114 HP),Manual,https://automotodeal.pl/c-max/ford-c-max-20-stan-idealny-bezwypadkowy-1wl-pelny-serwis-ford-z-niemiec-oplacony.html
"43,371 EUR (46,900 USD)",Chevrolet,Trax,1.4 lt,"127,322 km",2013,Petrol,Crossover,White,Myślenice,102 kW (139 HP),Manual,https://automotodeal.pl/trax-/chevrolet-trax-4x4lt-fv-vat-marza-gwarancja-dostawa-w-cenie.html
"110,879 EUR (119,900 USD)",Škoda,Superb,2.0 TSI,"98,628 km",2017,Petrol,Sedan,Silver,Bydgoszcz,205 kW (279 HP),Automatic,https://automotodeal.pl/osobowe/Skoda-superb-landk-20-tsi-280-km-4x4-dsg-salon-pl-fv23-pierwszy-wlasciciel.html
"22,009 EUR (23,800 USD)",Renault,Scenic,1.6,"150,000 km",2011,Petrol,Mpv,Black,Kętrzyn,80 kW (109 HP),Manual,https://automotodeal.pl/iii-(2009-2016)/renault-scenic-idealny-z-niemiec-16-benzyna-navi-oplacony-gwarancja-serwis-.html
"103,481 EUR (111,900 USD)",Škoda,Karoq,2.0,"128,000 km",2018,Diesel,Suv,Beige,Mysłowice,110 kW (150 HP),Automatic,https://automotodeal.pl/osobowe/Skoda-karoq-3-lata-gwarancja-i-wl-kraj-bezwypadkowy-20tdi-150km-dsg-4x4-fv23procent.html
"175,613 EUR (189,900 USD)",Bmw,X3,i,"56,000 km",2018,Petrol,Suv,Black,Mysłowice,185 kW (252 HP),Automatic,https://automotodeal.pl/x3/bmw-x3-3-lata-gwarancja-i-wl-kraj-bezwypadkowy-luxury-xdrive30i-252km-fv23procent.html
"34,124 EUR (36,900 USD)",Volkswagen,Passat,2.0,"166,963 km",2014,Diesel,Wagon,Silver,Głogówek,102 kW (139 HP),Automatic,https://automotodeal.pl/b7-2010-2014/volkswagen-passat-nr-133-b7-kombi-20-tdi-dsg--140-km-klima-2014r.html
"9,802 EUR (10,600 USD)",Citroen,Xsara Picasso,1.6,"177,000 km",2006,Petrol,Mpv,Red,Świebodzin,80 kW (109 HP),Automatic,https://automotodeal.pl/xsara-picasso-/citroen-xsara-picasso-benzyna--lpg---krajowy---2-komplety-kol---klimatronik---pdc-tyl.html
"157,118 EUR (169,900 USD)",Lexus,Nx,300,"36,155 km",2017,Petrol,Suv,White,Myślenice,175 kW (238 HP),Automatic,https://automotodeal.pl/nx/lexus-nx-300-elegance-4x4-salon-pl-navi-fv-23procent-gwarancja.html
"22,102 EUR (23,900 USD)",Bmw,X5,,"247,000 km",2003,Diesel,Suv,Black,Zgierz,135 kW (184 HP),Automatic,https://automotodeal.pl/e53-1999-2006/bmw-x5-30-di-automat-po-oplatach.html
"55,393 EUR (59,900 USD)",Mazda,Cx-3,1.5,"142,000 km",2016,Diesel,Crossover,Blue,Kamienna Góra,77 kW (105 HP),Automatic,https://automotodeal.pl/cx-3/mazda-cx-3-skyactiv-d-105-navi-super-stan-gwarancja.html
"42,354 EUR (45,800 USD)",Hyundai,I30,1.6,"194,255 km",2017,Diesel,Wagon,White,Częstochowa,99 kW (135 HP),Manual,https://automotodeal.pl/i30/hyundai-i30-16-automat-ledy-navi-kamera-100procentbezwypadkowy-stan-idealny-z-niemiec.html
"18,033 EUR (19,500 USD)",Honda,Cr-V,2.0,"271,000 km",2003,Petrol,Suv,Silver,Błonie,110 kW (150 HP),Manual,https://automotodeal.pl/ii-2001-2006/honda-cr-v-gaz-20-benzyna-150km-klima-12-2003.html
"25,523 EUR (27,600 USD)",Citroen,C5,1.6 HDi,"167,255 km",2013,Diesel,Wagon,Black,Częstochowa,84 kW (114 HP),Manual,https://automotodeal.pl/iii-2008-/citroen-c5-100procentbezwypadkowy-stan-bdobry-1wl-udokum-przebieg-z-niemiec-oplacony.html
"55,393 EUR (59,900 USD)",Peugeot,Partner,1.6,"149,871 km",2018,Petrol,Pickup,White,Piaseczno,72 kW (98 HP),Manual,https://automotodeal.pl/partner/peugeot-partner-16-bluehdi-active-kombi-dw5aa08.html
"120,127 EUR (129,900 USD)",Volkswagen,Passat,2.0 TDI,"88,080 km",2018,Diesel,Sedan,White,Gdańsk,139 kW (189 HP),Automatic,https://automotodeal.pl/b8-2014-/volkswagen-passat-20-tdi-190-km-dsg-4-motion-salon-polska-vat-23procent-gwarancja-1-wlascicie.html
"6,018 EUR (26,000 PLN)",Suzuki,Grand Vitara,1.9,"160,450 km",2008,Diesel,Suv,Black,Piaseczno,95 kW (129 HP),Manual,http://www.aaaauto.pl/pl/car.html?aaaid=0300081772&utm_source=ooyyo.pl&utm_medium=karta&utm_campaign=karta-pl
"36,898 EUR (39,900 USD)",Volvo,V60,2.0,"178,000 km",2012,Diesel,Wagon,Black,Częstochowa,119 kW (162 HP),Manual,https://automotodeal.pl/v60/volvo-v60-20d-skora-navi-ledy-alu-klimatronik-oplacony-vip-gwarancja.html
"20,159 EUR (21,800 USD)",Honda,Cr-V,2.0,"220,000 km",2004,Petrol,Suv,Silver,Nowe,110 kW (150 HP),Automatic,https://automotodeal.pl/ii-2001-2006/honda-cr-v-4x4-extra-wyposazenie-stan-idealny-nowe-oponyruryskorazamiana.html
