Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"14,499 EUR",Peugeot,308,1.2 puretech,"94,979 km",2020,Petrol,Wagon,Blue,Stadskanaal,82 kW (112 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/stationwagen/vehicle/2461283/peugeot-308-sw-12-puretech-active-panorama-dak-94000-km,
"11,000 EUR",Toyota,Yaris,1.3 vvt-i,"81,557 km",2015,Petrol,Hatchback,Black,Laren,73 kW (99 HP),Manual,https://www.autotrader.nl/auto/voertuig/toyota-yaris-13-vvt-i-aspiration-benzine/1e8a3b2c-0c52-48e5-9b3e-deed6a2c0a9a/,
"32,425 EUR",Peugeot,3008,1.2 puretech,"56,906 km",2021,Petrol,Crossover,Red,Zoetermeer,97 kW (132 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/peugeot/3008-12-puretech-blue-lease-gt-automaat-schuifdak-focal-sound-comfortstoelen-met-verwarming-adaptieve-cruise-control-park-assist-wat-een-gave-3008/18799049,
"32,899 EUR",Peugeot,3008,1.6,"31,851 km",2021,Hybrid,Crossover,Black,Schijndel,165 kW (224 HP),Automatic,https://www.marktplaats.nl/v/auto-s/peugeot/m2090826466-peugeot-3008-1-6-hybrid-225-gt-facelift-rijklaarprijs-inc,
"9,450 EUR",Mitsubishi,Space Star,1.0,"65,076 km",2018,Petrol,Mpv,Silver,Emmeloord,52 kW (71 HP),Manual,https://www.autotrader.nl/auto/voertuig/mitsubishi-space-star-10-intense-benzine/ec936829-630a-469f-853d-b1540912f2ca/,
"8,595 EUR",Ford,Fiesta,1.0,"183,318 km",2013,Petrol,Hatchback,Black,Eindhoven,75 kW (102 HP),Manual,https://www.autotrader.nl/auto/voertuig/ford-fiesta-10-101pk-titanium-navigatie-telefoon-bluetooth-a-benzine/43be96e7-9333-4179-a1c1-0db8060d99a6/,
"12,900 EUR",Bmw,X5,xDrive30d,"325,708 km",2007,Diesel,Suv,Silver,Haarlem,176 kW (239 HP),Automatic,https://www.autotrader.nl/auto/voertuig/bmw-x5-xdrive30d-high-executive-aut-7-pers-panodak-sto-diesel/f8ff7e58-4d67-49ba-8aee-587cb52b47b9/,
"12,950 EUR",Mercedes Benz,E-Class,230,"160,346 km",2007,Diesel,Sedan,Black,Ochten,152 kW (207 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/mercedes-benz/e-klasse-230-aut7-204-pk-sedan-orig-nl-avantgarde-sport-leder-panorama/18681331,
"15,900 EUR",Volkswagen,Polo,1.0 tsi,"105,116 km",2018,Petrol,Hatchback,Blue,Tilburg,70 kW (95 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/kleine-auto/vehicle/2539146/volkswagen-polo-10-tsi-comfortline-airco-apple-carplayandroid-auto-navigatie-cruise-control-adaptief,
"21,700 EUR",Volvo,V60,2.0 D3,"77,000 km",2018,Diesel,Wagon,Beige,Kerkrade,111 kW (151 HP),Automatic,https://www.limburgmobiel.nl/tweedehands-auto/volvo/v60-20-d3-navileer1ste-eig/18801321,
"13,445 EUR",Volkswagen,Polo,1.0 tsi,"169,071 km",2019,Petrol,Hatchback,Black,Stolwijk,70 kW (95 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/volkswagen/polo-10-tsi-comfortline-business-aut-privacy-glass-nav-lm-velgen/18816721,
"49,744 EUR",Audi,A5,2.0 40 TFSI,"3,352 km",2023,Petrol,Convertible,Black,Wijchen,152 kW (207 HP),Automatic,https://www.autotrader.nl/auto/voertuig/audi-a5-cabriolet-40-tfsi-204-pk-advanced-leer-navi-camera-benzine/73632c50-c262-4df8-aada-64a0fde915aa/,
"18,750 EUR",Kia,Sportage,1.6 T-GDi,"135,584 km",2016,Petrol,Crossover,White,Utrecht,131 kW (178 HP),Manual,https://www.marktplaats.nl/v/auto-s/kia/m2089789639-kia-sportage-1-6-t-gdi-gt-line-first-edition-1900kg-trekgewi,
"15,245 EUR",Renault,Kadjar,1.2 TCe,"119,587 km",2017,Petrol,Suv,Gray,Nuenen,132 kW (180 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/suv-off-road-pick-up/vehicle/2581592/renault-kadjar-12-tce-edc-bose-automaat-navigatie-camera-parkeersensoren,
"44,950 EUR",Land Rover,Range Rover Sport,3.0 TDV6,"49,877 km",2016,Diesel,Suv,Black,Spijkenisse,192 kW (261 HP),Automatic,https://www.autotrader.nl/auto/voertuig/land-rover-range-rover-sport-30-tdv6-hse-dynamic-panoramadak-climatronic-n-diesel/f973f09a-fc79-4315-83a6-ed761484201a/,
"16,395 EUR",Kia,Stonic,1.0 T-GDi,"71,764 km",2020,Petrol,Crossover,Black,Nuenen,132 kW (180 HP),Manual,https://www.autotrader.nl/auto/voertuig/kia-stonic-10-t-gdi-dynamicline-navi-camera-cruise-ctr-benzine/f9d7e646-83ba-47a5-b149-0274e2427ae5/,
"17,925 EUR",Renault,Clio,1.0 tce,"53,000 km",2021,Petrol,Hatchback,Gray,Zoetermeer,68 kW (92 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/renault/clio-10-tce-intens-93-navigatie-stoelverwarming-17-lichtmetalen-velgen-360-camera/18796587,6
"19,650 EUR",Nissan,Leaf,N-Connecta,"75,752 km",2018,Electric,Hatchback,White,Goes,111 kW (151 HP),Automatic,https://www.zeelandnet.nl/prikbord/nissan-leaf-n-connecta-40-kwh-subsidie-mogelijk-navigatie-adapt-cruise-control-360-camera-stuur-stoelvewarming-keyless-entry-apple-carplayandroid-auto-rijklaarprijs/a/5736985,
"28,695 EUR",Nissan,Leaf,N-Connecta,500 km,2024,Electric,Hatchback,Silver,Tiel,111 kW (151 HP),Automatic,https://www.marktplaats.nl/v/auto-s/nissan/m2089078792-nissan-leaf-n-connecta-39-kwh-navigatie-360-camera-stoel,
"15,850 EUR",Opel,Astra,1.2,"51,000 km",2021,Petrol,Hatchback,Black,Kerkrade,82 kW (112 HP),Manual,https://www.marktplaats.nl/v/auto-s/opel/m2085949956-opel-astra-1-2-edition-navigatie-dab-carplay-bj-2021,
