Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"35,990 EUR",Volvo,Xc40,2.0 D4 AWD,"69,000 km",2020,Diesel,6,Crossover,Red,Wels,141 kW (192 HP),Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-rot-oberoesterreich/details-1171401
"199,999 EUR",Mclaren,570gt,3.8,"33,000 km",2017,Petrol,,Coupe,Orange,Salzburg,425 kW (578 HP),Automatic,https://www.zweispurig.at/mclaren-570-gt-gebrauchtwagen-benzin-orange-salzburg/details-1238771
"56,840 EUR",Škoda,Kodiaq,2.0 4x4 dsg tdi,"6,213 km",2023,Diesel,6,Suv,Gray,Linz,149 kW (203 HP),Automatic,https://www.dasweltauto.at/vehicle/30102130
"99,900 EUR",Maserati,Grecale,2.0 GT,"18,400 km",2022,Hybrid,,Suv,Blue,Wien,224 kW (305 HP),Automatic,https://www.zweispurig.at/maserati-grecale-gebrauchtwagen-benzin-blau-wien/details-752548
"18,840 EUR",Volkswagen,Sharan,2.0 TDI,"169,000 km",2017,Diesel,,Van,White,Steyr,86 kW (117 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/volkswagen-sharan-business-2-0-tdi-netto15-700-xenon-pdc-temp-diesel/c2d0a62e-c926-4702-91db-f93d9214079a
"15,900 EUR",Bmw,X3,xDrive20d,"228,000 km",2012,Diesel,5,Suv,Black,Lienz,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1238595
"15,900 EUR",Jeep,Renegade,2.0,"160,000 km",2015,Diesel,6,Crossover,White,Salzburg,89 kW (121 HP),Manual,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-diesel-weiss-salzburg/details-1180809
"19,900 EUR",Bmw,X3,30d,"151,903 km",2012,Diesel,5,Suv,Black,Innsbruck,192 kW (261 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1230667
"19,950 EUR",Bmw,X3,xDrive20d,"148,000 km",2012,Diesel,,Suv,Black,Lustenau,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1213758
"11,999 EUR",Mercedes Benz,C-Class,220 CDI,"221,000 km",2011,Diesel,5,Sedan,Black,Braunau Am Inn,126 kW (171 HP),Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1229590
