Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"58,426 EUR (679,000 NOK)",Bentley,Continental Gt,"59,000 km",2006,Petrol,Coupe,Black,Kolbotn,417 kW (567 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=332390865,6.0 W12
"36,045 EUR (418,900 NOK)",Bmw,5 Series,"209,833 km",2015,Diesel,Wagon,Black,Tromsø,192 kW (261 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344243922,530d xDrive
"45,949 EUR (534,000 NOK)",Volvo,V90,"59,900 km",2017,Diesel,Wagon,Silver,Furnes,175 kW (238 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=191587688,2.0 d5
"20,565 EUR (239,000 NOK)",Bmw,5 Series,"163,000 km",2013,Diesel,Wagon,Black,Oslo,157 kW (214 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345129440,
"6,625 EUR (77,000 NOK)",Škoda,Superb,"224,951 km",2012,Diesel,Wagon,Silver,Oslo,78 kW (106 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=318564365,1.6 TDI
"8,518 EUR (99,000 NOK)",Volvo,V60,"210,000 km",2013,Diesel,Wagon,Gray,Skien,85 kW (116 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342371387,1.6 DRIVe
"28,387 EUR (329,900 NOK)",Tesla,Model S,"35,000 km",2017,Electric,Sedan,Red,Porsgrunn,391 kW (532 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342089303,electro
"26,236 EUR (304,900 NOK)",Tesla,Model S,"86,500 km",2018,Electric,Sedan,Black,Porsgrunn,391 kW (532 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343719193,electro
"35,990 EUR",Citroen,C3,"114,000 km",2006,Petrol,Hatchback,Gray,Skien,81 kW (110 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341954818,1.6
"53,000 EUR",Citroen,C3,"112,000 km",2006,Petrol,Hatchback,Gray,Skien,81 kW (110 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=328641609,1.6
"59,372 EUR (689,990 NOK)",Mercedes Benz,Eqc,"6,500 km",2023,Electric,Suv,Black,Hønefoss,304 kW (413 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344507582,400
"58,942 EUR (685,000 NOK)",Ford,Mustang,"52,406 km",2013,Petrol,Coupe,Black,Oslo,426 kW (579 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=319320816,5.0
"17,123 EUR (199,000 NOK)",Volvo,Xc60,"255,000 km",2013,Diesel,Crossover,Gray,Drammen,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343882573,2.4 D4
"24,953 EUR (289,999 NOK)",Mercedes Benz,C-Class,"123,800 km",2015,Diesel,Wagon,White,Vestby,152 kW (207 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345189108,
"2,838 EUR (32,990 NOK)",Peugeot,308,"165,000 km",2007,Petrol,Wagon,Gray,Skien,81 kW (110 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341976987,1.6
"5,592 EUR (64,990 NOK)",Bmw,3 Series,"227,000 km",2006,Diesel,Wagon,Silver,Skien,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341289521,320d
"62,384 EUR (725,000 NOK)",Bmw,M3,"89,000 km",2016,Petrol,Sedan,Gray,Al,321 kW (437 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344865872,3.0 DKG
"40,356 EUR (469,000 NOK)",Volkswagen,Touareg,"147,000 km",2017,Diesel,Suv,Silver,Kolbotn,195 kW (265 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342082401,3.0 TDI V6
"34,410 EUR (399,900 NOK)",Bmw,Z4m,"85,000 km",2006,Petrol,Convertible,Black,Drammen,255 kW (347 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344066364,
"66,170 EUR (769,000 NOK)",Mercedes Benz,Gle-Class,"126,000 km",2018,Diesel,Suv,Black,Sandnes,192 kW (261 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344136982,350d 4Matic
"6,797 EUR (79,000 NOK)",Citroen,C4 Aircross,"149,000 km",2013,Diesel,Crossover,Brown,Drammen,85 kW (116 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=335975589,
"28,752 EUR (334,147 NOK)",Bmw,5 Series,"190,000 km",2017,Diesel,Wagon,Gray,Al,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=328746591,
"7,571 EUR (87,990 NOK)",Audi,A4,"189,000 km",2006,Petrol,Wagon,Silver,Skien,178 kW (242 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342046081,2.0
"37,852 EUR (439,900 NOK)",Tesla,Model X,"65,000 km",2017,Electric,Suv,Black,Siggerud,390 kW (530 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342100970,electro
"19,777 EUR (229,845 NOK)",Bmw,X5,"268,000 km",2011,Diesel,Suv,Black,Hønefoss,182 kW (248 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343480823,D
"34,333 EUR (399,000 NOK)",Peugeot,E-Expert,100 km,2022,Electric,Van,Black,Sandnes,101 kW (137 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343999492,
"6,014 EUR (69,900 NOK)",Peugeot,307 Cc,"112,953 km",2007,Petrol,Convertible,Blue,Oslo,81 kW (110 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=314197004,1.6
"20,565 EUR (239,000 NOK)",Bmw,X5,"218,000 km",2011,Diesel,Suv,Black,Sandnes,182 kW (248 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343886591,D
"24,857 EUR (288,880 NOK)",Hyundai,Kona,"15,000 km",2020,Electric,Crossover,White,Oslo,152 kW (207 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344223412,
"15,393 EUR (178,900 NOK)",Ford,Galaxy,"153,000 km",2016,Diesel,Mpv,Gray,Skien,111 kW (151 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=343891914,2.0 Duratorq
"27,526 EUR (319,900 NOK)",Mercedes Benz,C-Class,"149,900 km",2019,Diesel,Wagon,Black,Sandnes,119 kW (162 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=342934426,200D
"14,542 EUR (169,000 NOK)",Volkswagen,Caddy,"86,890 km",2019,Petrol,Pickup,White,Drammen,93 kW (126 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=343882888,1.4
