Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"15,089 EUR (5,990,000 HUF)",Hyundai,Tucson,1.6 T-GDi,"164,500 km",2016,Petrol,,Suv,,,130 kW (177 HP),Manual,https://joautok.hu/hasznaltauto/hyundai/tucson/tucson-16-t-gdi-comfort-4wd-plus-magyar-1-tulaj-vezetett-szervizkonyves-teli-nyari-gumikkal-1/0xywvhw/
"10,074 EUR (3,999,000 HUF)",Dacia,Duster,1.6,"151,961 km",2018,Petrol,,Suv,,Budakalász,84 kW (114 HP),Manual,https://joautok.hu/hasznaltauto/dacia/duster/duster-16-sce-prestige-mo-i-151e-km-vonohorog-teli-nyari-kerek-navi-markaszervizben-szervizelt/0b9bjz2/
"25,189 EUR (9,999,000 HUF)",Abarth,695,1.4,"20,000 km",2020,Petrol,,Coupe,,,132 kW (180 HP),,https://www.hasznaltautok.hu/vehicle?vehicle=17598304
"11,815 EUR (4,690,000 HUF)",Opel,Astra,1.2 Turbo,"88,736 km",2020,Petrol,,,Black,,107 kW (146 HP),,https://usedcars.leaseplan.com/hu-hu/opel-astra/1651243-hu-opel-astra.html
"18,364 EUR (7,290,000 HUF)",Peugeot,3008,,"68,431 km",2018,Electric,,Crossover,Brown,,96 kW (131 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/peugeot-3008/1507555-hu-peugeot-3008.html
"19,876 EUR (7,890,000 HUF)",Mazda,3,,"32,250 km",2021,Petrol,,Hatchback,,,90 kW (122 HP),,https://usedcars.leaseplan.com/hu-hu/mazda-mazda3/1702412-hu-mazda-mazda3.html
"22,395 EUR (8,890,000 HUF)",Volkswagen,Passat,,"89,644 km",2020,Petrol,,Sedan,,,140 kW (190 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volkswagen-passat/1584882-hu-volkswagen-passat.html
"26,426 EUR (10,490,000 HUF)",Volkswagen,Tiguan,,"58,806 km",2020,Petrol,,Crossover,,,110 kW (150 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volkswagen-tiguan/1622027-hu-volkswagen-tiguan.html
"18,113 EUR (7,190,000 HUF)",Nissan,Qashqai,,"56,679 km",2018,Petrol,,Crossover,,,118 kW (160 HP),,https://usedcars.leaseplan.com/hu-hu/nissan-qashqai/1527851-hu-nissan-qashqai.html
"14,838 EUR (5,890,000 HUF)",Toyota,Auris,,"97,509 km",2019,Petrol,,Hatchback,,,97 kW (132 HP),,https://usedcars.leaseplan.com/hu-hu/toyota-auris/1567861-hu-toyota-auris.html
"15,089 EUR (5,990,000 HUF)",Toyota,Auris,,"83,473 km",2019,Petrol,,Hatchback,,,97 kW (132 HP),,https://usedcars.leaseplan.com/hu-hu/toyota-auris/1568051-hu-toyota-auris.html
"37,258 EUR (14,790,000 HUF)",Audi,A6,2.0 hybrid,"106,302 km",2020,,,Sedan,,,170 kW (231 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/audi-a6/1633516-hu-audi-a6.html
"37,258 EUR (14,790,000 HUF)",Audi,A6,2.0 hybrid,"137,858 km",2019,,,Wagon,,,210 kW (286 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/audi-a6-avant/1528818-hu-audi-a6avant.html
"18,616 EUR (7,390,000 HUF)",Mazda,6,2.0,"237,452 km",2019,Petrol,,Sedan,Gray,,121 kW (165 HP),Automatic,https://joautok.hu/hasznaltauto/mazda/mazda-6/6-20i-revolution-top-automata-vezetett-szervizkonyves/sdy5jbn/
"32,724 EUR (12,990,000 HUF)",Mazda,6,2.5,"7,460 km",2022,Petrol,,Sedan,Gray,,143 kW (194 HP),Automatic,https://joautok.hu/hasznaltauto/mazda/mazda-6/6-25i-takumi-plus-automata-sr-7460km-magyar-1-tulaj-vezetett-szervizkonyves-garancialis/s5j8b7e/
"17,357 EUR (6,890,000 HUF)",Kia,Optima,2.0,"91,650 km",2017,Petrol,,Wagon,Gray,,120 kW (163 HP),Automatic,https://joautok.hu/hasznaltauto/kia/optima/optima-sw-20-cvvt-ex-premium-automata-magyar-1-tulaj-vez-szervizkonyves-teli-nyari-kerek-garnituraval-garancialis/0tu69xz/
"13,830 EUR (5,490,000 HUF)",Volkswagen,Golf,,"112,378 km",2019,Electric,,Wagon,,,85 kW (116 HP),,https://usedcars.leaseplan.com/hu-hu/volkswagen-golf-variant/1586479-hu-volkswagen-golfvariant.html
"13,830 EUR (5,490,000 HUF)",Seat,Arona,1.0 tsi,"100,237 km",2019,Petrol,,Crossover,,,85 kW (116 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/seat-arona/1529916-hu-seat-arona.html
"10,807 EUR (4,290,000 HUF)",Peugeot,308,,"119,780 km",2019,Electric,,Wagon,,,96 kW (131 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/peugeot-308/1581237-hu-peugeot-308.html
"20,128 EUR (7,990,000 HUF)",Peugeot,Expert,,"105,185 km",2020,Electric,,Van,,,74 kW (101 HP),,https://usedcars.leaseplan.com/hu-hu/peugeot-expert/1580534-hu-peugeot-expert.html
