Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Volvo,Xc60,2.0,2022,Petrol,Crossover,Black,Rotselaar,Manual,https://www.autogids.be/detail-id--9550922--volvo-r-design-b4-mhev-automaat/tweedehands.html,47782,21262,146.0,6,Belgium
Audi,Rs4,2.9,2019,Petrol,Wagon,Gray,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs4-essence-0523071/,75900,26800,450.0,6,Belgium
Mazda,Cx-5,2.0,1998,Petrol,Crossover,Black,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0527101/,39790,5000,123.0,2,Belgium
Audi,A4,2.0,2023,Petrol,Wagon,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a4/audi-a4-2023-vente-563215?,45500,16500,152.0,6,Belgium
Nissan,Qashqai,1.3,2022,Petrol,Crossover,Blue,Keerbergen,Manual,https://www.autogids.be/detail-id--9456276--nissan-tekna-2wd-mild-hybrid-140-cold-pack-design-pac/tweedehands.html,28999,18850,104.0,6,Belgium
Bmw,X7,40d xDrive,2023,Diesel,Suv,Black,Kortrijk,Automatic,https://www.autogids.be/detail-id--9531239--bmw-xdrive-40d-m-sport-7-zit-sky-lounge-harmank/tweedehands.html,92950,35551,253.0,6,Belgium
Nissan,X-Trail,1.3,2021,Petrol,Suv,Bronse,Keerbergen,Automatic,https://www.autogids.be/detail-id--9553934--nissan-tekna-dig-t160pk-dct-tan-leather/tweedehands.html,29999,66435,119.0,6,Belgium
Porsche,Taycan,4S,2021,Electric,Sedan,Black,Houthalen Helchteren,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0327545/,129999,16705,425.0,6,Belgium
Porsche,911,3.0,2019,Petrol,Coupe,Black,Kuurne,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-911-essence-0516275/,129995,17701,335.0,6,Belgium
Audi,A6,2.0 TDI,2019,Diesel,Sedan,Black,Oostkamp,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a6/audi-a6-2019-vente-560828?,31990,70000,204.0,6,Belgium
Peugeot,308,1.2 vti,2019,Petrol,Wagon,White,Peruwelz,Manual,https://www.autogids.be/detail-id--9500391--peugeot-allure-es-130/tweedehands.html,11990,95482,96.0,6,Belgium
Ford,Focus,2.3 EcoBoost,2020,Petrol,Wagon,Orange,Machelen,Automatic,https://www.vroom.be/fr/voitures-occasion/ford-focus-essence-0561822/,30950,21200,208.0,6,Belgium
Ford,S-Max,2.0,2018,Diesel,Mpv,Black,Brugge,Manual,https://www.vroom.be/fr/voitures-occasion/ford-s-max-diesel-0537873/,17495,111949,89.0,6,Belgium
