Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"3,606 EUR (3,500 CHF)",Peugeot,4007,,2010,Petrol,Suv,Black,Meilen,Automatic,https://www.carforyou.ch/de/auto/peugeot/4007,2.4,,
"24,624 EUR (23,900 CHF)",Škoda,Kamiq,"22,200 km",2020,Diesel,Suv,,,Automatic,https://www.azw.ch/de/angebot/1168/skoda-kamiq-1-6-tdi-style-dsg-automat?&page_number=7,1.6 TDI,85 kW (116 HP),6
"38,946 EUR (37,800 CHF)",Subaru,Solterra,10 km,2024,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/606/subaru-solterra-ev-luxury-71-4-kwh-awd-autom-38?&page_number=7,,162 kW (220 HP),
"38,946 EUR (37,800 CHF)",Tesla,Model 3,"18,200 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/895/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"38,946 EUR (37,800 CHF)",Tesla,Model 3,"17,700 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/894/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"38,946 EUR (37,800 CHF)",Tesla,Model 3,"17,300 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/849/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"41,007 EUR (39,800 CHF)",Tesla,Model 3,"13,500 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1078/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"27,303 EUR (26,500 CHF)",Bmw,X1,"39,100 km",2019,Petrol,Suv,,,Automatic,https://www.azw.ch/de/angebot/1006/bmw-x1-sdrive-20i-steptronic-dsk-automat?&page_number=2,,104 kW (141 HP),6
"46,261 EUR (44,900 CHF)",Tesla,Model Y,"15,900 km",2022,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/840/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,398 kW (541 HP),
"34,928 EUR (33,900 CHF)",Cupra,Formentor,"11,200 km",2023,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1101/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,231 kW (314 HP),6
"26,582 EUR (25,800 CHF)",Mitsubishi,Asx,9 km,2024,Hybrid,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1242/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,119 kW (162 HP),
"26,582 EUR (25,800 CHF)",Mitsubishi,Asx,8 km,2024,Hybrid,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1243/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,119 kW (162 HP),
"26,582 EUR (25,800 CHF)",Mitsubishi,Asx,10 km,2024,Hybrid,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1244/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,119 kW (162 HP),
"22,461 EUR (21,800 CHF)",Peugeot,2008,"30,100 km",2022,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/148/peugeot-2008-1-2-puretech-gt-eat-automat?&page_number=5,1.2 puretech,96 kW (131 HP),6
