Make,Model,Trim,Year,Mileage(km),kW,Fuel type,Body type,Color,Transmission,Emission standard,Country,City,Price(EUR)
Seat,Leon,2.0,2024,5000,111.0,Diesel,Hatchback,Black,Automatic,6,Austria,Rankweil,38490.0
Seat,Leon,1.0 etsi,2024,5000,82.0,Petrol,Hatchback,Gray,Automatic,6,Austria,Graz,34390.0
Seat,Leon,1.0 tsi,2023,6700,67.0,Petrol,Hatchback,Red,Manual,6,Austria,Bruck An Der Mur,23790.0
Seat,Leon,1.5 tsi,2023,4074,97.0,Petrol,Hatchback,Gray,Manual,6,Austria,Krems,29890.0
Porsche,Taycan,turbo,2023,6561,466.0,Electric,Sedan,Black,Automatic,6,Austria,Wien,159990.0
Mercedes Benz,C-Class,63 amg,2019,37000,354.0,Petrol,Sedan,White,Automatic,6,Austria,Braunau Am Inn,79999.0
Renault,Trafic,1.6 dci,2019,83500,89.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,20970.0
Bmw,X1,20d,2016,57900,141.0,Diesel,Suv,Silver,Automatic,6,Austria,Linz,24590.0
Audi,A5,3.0,2018,88000,213.0,Diesel,Sedan,Black,Automatic,6,Austria,Lienz,37900.0
Volkswagen,Touran,2.0 tdi,2018,150000,111.0,Diesel,Mpv,White,Manual,6,Austria,Steyr,18850.0
Citroen,C4 Cactus,1.6,2020,114000,76.0,Diesel,Hatchback,White,Manual,6,Austria,Steyr,14750.0
Volkswagen,Golf,1.5 tsi,2017,95600,111.0,Petrol,Sedan,Silver,Manual,6,Austria,Dornbirn,15994.0
Ford,Ecosport,1.0,2018,62000,93.0,Petrol,Suv,Silver,Manual,6,Austria,Steyr,13980.0
Land Rover,Evoque,2.0,2019,65000,111.0,Diesel,Suv,White,Automatic,6,Austria,Lienz,33900.0
Toyota,C-Hr,2.0,2024,3333,113.0,Petrol,Suv,Silver,Automatic,6,Austria,Wien,44390.0
Renault,Trafic,1.6,2017,120300,90.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,18990.0
Volkswagen,Touran,2.0,2019,180950,86.0,Diesel,Mpv,Gray,Automatic,6,Austria,Perchtoldsdorf,17590.0
Opel,Grandland X,1.5,2023,10,97.0,Diesel,Suv,Black,Automatic,6,Austria,Zwettl,32490.0
Škoda,Octavia,2.0,2016,186000,111.0,Diesel,Sedan,White,Automatic,6,Austria,Braunau Am Inn,14999.0
Bmw,X5,xdrive35d,2008,197000,213.0,Diesel,Suv,White,Automatic,4,Austria,Wien,17890.0
Citroen,C4 Spacetourer,1.6 bluehdi,2019,167000,97.0,Diesel,Mpv,White,Manual,6,Austria,Steyr,15850.0
Seat,Leon,1.4 tsi,2017,85000,111.0,Petrol,Hatchback,Red,Manual,6,Austria,Steyr,16999.0
Opel,Cascada,1.4 ecotec,2014,140000,104.0,Petrol,Convertible,Brown,Manual,6,Austria,Stockerau,11990.0
Seat,Ateca,2.0,2024,559,111.0,Diesel,Suv,Green,Automatic,6,Austria,Graz,43990.0
Seat,Ateca,2.0 tsi,2024,201,141.0,Petrol,Suv,Gray,Automatic,6,Austria,Wien,45490.0
Seat,Ateca,1.0 tsi,2023,259,82.0,Petrol,Suv,Black,Manual,6,Austria,Wien,28430.0
Volkswagen,Tiguan,1.4 tsi,2016,129200,93.0,Petrol,Crossover,Black,Manual,6,Austria,Wien,15990.0
Volkswagen,Tiguan,2.0 tdi 4motion,2016,114000,111.0,Diesel,Crossover,White,Automatic,6,Austria,Graz,22900.0
Volkswagen,Tiguan,2.0 tdi 4motion,2016,107000,111.0,Diesel,Crossover,Black,Automatic,6,Austria,Lustenau,25950.0
Volkswagen,Golf,1.6 tdi,2020,133000,86.0,Diesel,Wagon,White,Manual,6,Austria,Steyr,16750.0
Renault,Trafic,1.6 dci,2018,131300,89.0,Diesel,Van,Blue,Manual,6,Austria,Spittal An Der Drau,17970.0
Renault,Trafic,1.6 dci,2018,114900,90.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,20970.0
Renault,Trafic,1.6 dci,2018,106600,90.0,Diesel,Van,Blue,Manual,6,Austria,Spittal An Der Drau,19980.0
Renault,Trafic,1.6 dci,2018,104300,90.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,18960.0
Renault,Trafic,1.6 dci,2018,103300,89.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,18960.0
Škoda,Karoq,2.0 4x4 scr tdi,2021,69990,141.0,Diesel,Suv,Black,Automatic,6,Austria,Telfs,34984.0
Volkswagen,Tiguan,1.5 tsi,2020,74652,111.0,Petrol,Crossover,White,Automatic,6,Austria,Amstetten,31990.0
Mercedes Benz,Cls-Class,350,2011,238000,228.0,Petrol,Sedan,Gray,Automatic,5,Austria,Braunau Am Inn,21499.0
Škoda,Octavia,2.0 rs tdi,2023,10000,149.0,Diesel,Wagon,Gray,Automatic,6,Austria,Innsbruck,50990.0
Škoda,Octavia,1.6,2017,160000,86.0,Diesel,Wagon,Black,Automatic,6,Austria,Ried Im Innkreis,14750.0
Volkswagen,Tiguan,2.0 tdi 4motion,2017,184730,178.0,Diesel,Crossover,Gray,Automatic,6,Austria,Steyr,23700.0
Ford,Transit Custom,2.0,2019,88400,97.0,Diesel,Van,Silver,Manual,6,Austria,Spittal An Der Drau,26970.0
Renault,Trafic,1.6 dci,2019,137600,89.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,17970.0
Renault,Trafic,1.6,2019,118400,90.0,Diesel,Van,Black,Manual,6,Austria,Spittal An Der Drau,20970.0
Renault,Trafic,1.6 dci,2019,112300,90.0,Diesel,Van,Black,Manual,6,Austria,Spittal An Der Drau,20970.0
Volkswagen,Touareg,3.0 tdi v6,2022,56000,172.0,Diesel,Suv,Black,Automatic,6,Austria,Vienna,59790.0
