Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Audi,Q2,2018,Petrol,Crossover,Black,Bredebro,Automatic,https://www.autouncle.dk/en/d/4748449-used-audi-q2-tfsi-s-tr,1.4 TFSI,6,29448,78000,111.0,Denmark
Citroen,C4 Cactus,2018,Diesel,Hatchback,Red,Gadstrup,Manual,https://bilhandel.dk/citroen-c4-cactus-16-bluehdi-100-skyline/id-1445559,1.6,6,20123,50000,100.0,Denmark
Ford,C-Max,2016,Petrol,Mpv,Black,Ringkøbing,Manual,https://www.bilbasen.dk/brugt/bil/ford/c-max/10-scti-125-titanium-5d/5980838,1.0,6,14717,146000,93.0,Denmark
Mercedes Benz,Eqb,2022,Electric,Suv,Black,Silkeborg,Automatic,https://bilhandel.dk/mercedes-eqb-250-mercedes-eqb250-progressive/id-1575792,250,6,44930,13000,190.0,Denmark
Volkswagen,Polo,2020,Petrol,Hatchback,White,Frederikssund,Automatic,https://bilhandel.dk/vw-polo-10-tsi-115-highline-dsg/id-1556185,1.0 TSI DSG,6,28817,22000,115.0,Denmark
Jeep,Renegade,2020,Diesel,Crossover,White,Hillerød,Automatic,https://bilhandel.dk/jeep-renegade-16-mjt-120-limited-dct/id-1555948,1.6 Limited,6,25463,120000,120.0,Denmark
Tesla,Model Y,2022,Electric,Suv,White,Fredericia,Automatic,https://www.bilbasen.dk/brugt/bil/tesla/model-y/long-range-awd-5d/6058946,0.0 long range,6,48297,20000,383.0,Denmark
Volkswagen,Up!,2017,Petrol,Mini,White,Brøndby,Manual,https://usedcars.leaseplan.com/da-dk/volkswagen-up/WVWZZZAAZJD147133.html,1.0,6,13402,41000,44.0,Denmark
Mercedes Benz,C-Class,2019,Diesel,Hatchback,White,Bredebro,Automatic,https://www.autouncle.dk/en/d/4640308-used-mercedes-c220-d-avantgarde-stc-aut,220 D,6,40180,125000,144.0,Denmark
Kia,Picanto,2022,Petrol,Mini,Yellow,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/kia-picanto/2357439-dk-kia-picanto.html,1.0,6,18768,21000,49.0,Denmark
Audi,Q5,2011,Diesel,Suv,Black,Gadstrup,Automatic,https://www.guloggratis.dk/annonce/643951f1-0f9f-4a02-ab09-0cf69e2a8287,3.0 TDI Quattro,5,26831,178000,178.0,Denmark
Ford,C-Max,2015,Diesel,Mpv,White,Gadstrup,Automatic,https://www.bilbasen.dk/brugt/bil/ford/c-max/15-scti-150-titanium-aut-5d/5565176,1.5,6,26161,80000,111.0,Denmark
Hyundai,Kona,2021,Electric,Crossover,White,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/hyundai-kona/2404957-dk-hyundai-kona.html,electric,6,28160,18000,152.0,Denmark
Peugeot,5008,2020,Diesel,Mpv,White,Silkeborg,Automatic,https://bilhandel.dk/peugeot-5008-15-bluehdi-130-allure-ltd-eat8-7prs/id-1542278,1.5 bluehdi,6,38892,105000,130.0,Denmark
Volkswagen,Tiguan,2018,Diesel,Crossover,NA,Bredebro,Automatic,https://bilhandel.dk/vw-tiguan-20-tdi-240-r-line-dsg-4motion/id-1577890,2.0 TDI,6,72379,94000,240.0,Denmark
Hyundai,I20,2015,Diesel,Hatchback,White,Hemmet,Manual,https://www.guloggratis.dk/annonce/5294a100-f56c-404a-bd1c-0b854c13dd36,1.1,6,4024,305000,55.0,Denmark
