Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"7,489 EUR (189,000 CZK)",Subaru,Outback,2.0 D,"202,000 km",2013,Diesel,Crossover,Gray,Žďár Nad Sázavou,110 kW (150 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Subaru/OUTBACK/OUTBACK-2.0D-AWD-A--Kombi-170862180231874.html,
"27,734 EUR (699,900 CZK)",Mini,Cooper,,"18,447 km",2020,Electric,Hatchback,Green,Praha,75 kW (102 HP),Automatic,https://www.sauto.cz/osobni/detail/mini/cooper/203684745,
"15,414 EUR (388,999 CZK)",Volkswagen,Caddy,2.0 TDI,"144,400 km",2016,Diesel,Pickup,Blue,Olbramovice,75 kW (102 HP),Manual,https://yauto.cz/volkswagen/caddy/20-tdi-maxi-klima-7-mist-tazzar-kombi-nafta-817320/,
"84,760 EUR (2,138,999 CZK)",Bmw,X6,M50i xDrive,"18,600 km",2021,Petrol,Suv,Green,Olbramovice,390 kW (530 HP),Automatic,https://autocaris.cz/detail.php?inzerat=700377,
"9,502 EUR (239,800 CZK)",Volkswagen,Touareg,3.0 TDI,"191,000 km",2009,Diesel,Suv,Black,Rajhrad,176 kW (239 HP),Automatic,https://yauto.cz/volkswagen/touareg/30-tdi-suv-nafta-853639/,
"3,170 EUR (79,999 CZK)",Mini,Cooper,1.6 S,"208,523 km",2007,LPG,Hatchback,White,Brno,128 kW (174 HP),Manual,https://yauto.cz/mini/cooper-s/16-mini-cooper-s-hatchback-lpg-benzin-862236/,
"28,847 EUR (728,000 CZK)",Volkswagen,Sharan,2.0 TDI,"98,239 km",2020,Diesel,Van,Blue,Znojmo,110 kW (150 HP),Automatic,https://www.autanet.cz/detail/volkswagen/sharan/6812,
"59,042 EUR (1,489,999 CZK)",Porsche,911,3.8 4S,"97,717 km",2007,Petrol,Convertible,Black,Olbramovice,261 kW (355 HP),Automatic,https://www.sportovnivozy.cz/186378-porsche-911-38-carrera-4s-261kw-cabr-2007,
"15,846 EUR (399,900 CZK)",Mazda,Cx-5,2.2 D,"198,000 km",2017,Diesel,Crossover,Red,Slaný,129 kW (175 HP),Automatic,https://auto.bazos.cz/inzerat/180586263/mazda-cx-5-22d129kw1majcrrevolutiontopdph.php,
"10,223 EUR (258,000 CZK)",Mazda,3,2.0 SKYACTIV,"98,869 km",2014,Petrol,Hatchback,Brown,Kroměříž,88 kW (120 HP),Manual,https://autocaris.cz/detail.php?inzerat=736353,
"17,831 EUR (449,999 CZK)",Audi,Sq5,3.0 TDI V6,"223,502 km",2013,Diesel,Suv,Gray,Olbramovice,230 kW (313 HP),Automatic,https://www.automodul.cz/audi-sq5-3-0-v6-tdi-230kw-quattro-navi-c2584295,
"16,638 EUR (419,900 CZK)",Ford,Kuga,1.5,"68,200 km",2018,Petrol,Suv,Blue,Praha,110 kW (150 HP),Manual,https://yauto.cz/ford/kuga/15-eb-mt-titanium-1majitel-suv-benzin-850410/,
"7,330 EUR (184,999 CZK)",Subaru,Forester,2.0,"240,856 km",2013,Diesel,Suv,White,Brno,108 kW (147 HP),Manual,https://www.sauto.cz/osobni/detail/subaru/forester/205458759,
"12,676 EUR (319,900 CZK)",Ford,Kuga,2.0 TDCi,"171,760 km",2016,Diesel,Suv,Gray,Uherské Hradiště,134 kW (182 HP),Manual,https://www.dasweltauto.cz/vehicle/242342309,
"9,906 EUR (249,990 CZK)",Volkswagen,Touareg,3.0 TDI,"434,000 km",2011,Diesel,Suv,Gray,Rajhrad,180 kW (245 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/touareg/202548244,
"23,775 EUR (599,999 CZK)",Bmw,3 Series,330i xDrive,"117,485 km",2015,Petrol,Sedan,Black,Olbramovice,185 kW (252 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/rada-3/203462433,
