Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Opel,Mokka,2014,Petrol,Crossover,Blue,Stans,Manual,https://www.autolina.ch/auto/opel-mokka/4067233,1.4,6,10205,144000,104.0,Switzerland
Mercedes Benz,Glc-Class,2022,Petrol,Suv,Black,Zurich,Automatic,https://www.autolina.ch/auto/mercedes-benz-glc-63-amg/4111385,63 AMG,6,83207,21900,354.0,Switzerland
Jeep,Compass,2020,Petrol,Crossover,Silver,Winterthur,Automatic,https://www.autolina.ch/auto/jeep-compass/4121408,1.4,6,26951,32140,126.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,White,Winterthur,Automatic,https://www.autolina.ch/auto/cupra-formentor/4094947,2.0 tsi vz,6,38312,7000,231.0,Switzerland
Maserati,Quattroporte,2015,Petrol,Sedan,Blue,Zurich,Automatic,https://www.autolina.ch/auto/maserati-quattroporte/4067848,3.0 S Q4,6,36438,88200,306.0,Switzerland
Bmw,Z4,2019,Petrol,Convertible,Red,Zug,Automatic,https://www.autolina.ch/auto/bmw-z4/4096357,30i sDrive,6,43530,51500,192.0,Switzerland
Opel,Insignia,2010,Petrol,Wagon,Blue,Basel,Manual,https://www.autolina.ch/auto/opel-insignia/4076268,2.8 Turbo,5,8320,192000,242.0,Switzerland
Hyundai,Tucson,2018,Petrol,Suv,White,Stans,Automatic,https://www.autolina.ch/auto/hyundai-tucson/4104600,1.6 GDi,6,25930,63000,131.0,Switzerland
Volkswagen,Golf,2019,Diesel,Wagon,Red,Zurich,Automatic,https://www.autolina.ch/auto/vw-golf-variant/4117502,2.0 TDI,6,14347,151077,111.0,Switzerland
Peugeot,5008,2019,Diesel,Mpv,Gray,Basel,Automatic,https://www.autolina.ch/auto/peugeot-5008/4038160,2.0 bluehdi,6,28950,91000,134.0,Switzerland
Renault,Koleos,2013,Diesel,Suv,Black,Bern,Automatic,https://www.autolina.ch/auto/renault-koleos/4106157,2.0 dCi,5,10309,159457,111.0,Switzerland
Subaru,Justy,2004,Petrol,Hatchback,Gray,Stans,Manual,https://www.autolina.ch/auto/subaru-justy/4112961,1.5,3,6144,71000,73.0,Switzerland
Maserati,Ghibli,2015,Petrol,Coupe,Black,Zurich,Automatic,https://www.autolina.ch/auto/maserati-ghibli/4114020,4.9,6,28013,127200,205.0,Switzerland
