Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Citroen,C4 Picasso,1.6 BlueHDI,2017,Diesel,Mpv,Gray,Linz,Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510870-citroen-c4-picasso-bluehdi-120-ss-eat6-shine.html,17890,66700,89.0,6,Austria
Land Rover,Evoque,2.0,2016,Diesel,Suv,Gray,Rankweil,Automatic,https://www.zweispurig.at/land-rover-range-rover-evoque-gebrauchtwagen-diesel-grau-vorarlberg/details-1192393,25950,97000,134.0,6,Austria
Ford,Galaxy,2.0 TDCi,2011,Diesel,Mpv,Blue,Lienz,Automatic,https://www.zweispurig.at/ford-galaxy-gebrauchtwagen-diesel-blau-tirol/details-1231869,10900,209000,121.0,5,Austria
Porsche,Cayenne,4.8 Turbo,2007,Petrol,Suv,Gray,Innsbruck,Automatic,https://www.zweispurig.at/porsche-cayenne-gebrauchtwagen-benzin-grau-tirol/details-1231328,14990,164000,372.0,4,Austria
Ford,Focus,1.6,2012,Diesel,Sedan,Black,Braunau Am Inn,Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1225482,8999,154000,111.0,5,Austria
Opel,Mokka,1.6,2016,Diesel,Crossover,White,Graz,Manual,https://www.zweispurig.at/opel-mokka-gebrauchtwagen-diesel-weiss-steiermark/details-1162138,12490,123098,101.0,6,Austria
Fiat,Talento,2.0 Ecojet L2H1,2020,Diesel,Van,White,Spittal An Der Drau,Manual,https://www.zweispurig.at/fiat-talento-gebrauchtwagen-diesel-weiss-kaernten/details-1195075,18990,142700,108.0,6,Austria
Mercedes Benz,E-Class,200,2019,Diesel,Sedan,Gray,Wien,Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-diesel-grau-wien/details-1230459,35990,112000,111.0,6,Austria
Volkswagen,Touran,2.0,2020,Diesel,Mpv,Silver,Schwechat,Automatic,https://www.zweispurig.at/vw-touran-gebrauchtwagen-diesel-silber-niederoesterreich/details-1234662,13999,133000,86.0,6,Austria
Audi,A4,2.5,2005,Diesel,Convertible,Silver,Wien,Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-silber-wien/details-1235766,5790,197970,121.0,4,Austria
