Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Ford,S-Max,2.0 TDCi,2017,Diesel,Mpv,Green,Dresden,Automatic,https://www.12gebrauchtwagen.de/c/4/1417325005?num_on_page=3&page=17&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,23990,67709,133.0,6,Germany
Dacia,Duster,1.2 TCe,2016,Petrol,Suv,Green,Geldern,Automatic,https://www.12gebrauchtwagen.de/c/4/1426575023?num_on_page=1&page=4&title=Dacia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,11990,79327,92.0,6,Germany
Audi,A4,2.0 35 TFSI,2020,Petrol,Sedan,Green,Wolfhagen,Automatic,https://www.12gebrauchtwagen.de/c/4/1426259005?num_on_page=4&page=43&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24920,82665,110.0,6,Germany
Audi,A5,2.0 40 TFSI,2019,Petrol,Convertible,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1426202539?num_on_page=3&page=3&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,33730,64000,140.0,6,Germany
Volkswagen,Polo,1.0 TSI DSG,2019,Petrol,Hatchback,Black,Mühlheim Am Main,Automatic,https://www.12gebrauchtwagen.de/c/16/1418850483?num_on_page=2&page=85&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22485,21500,147.0,6,Germany
Cupra,Ateca,2.0 TSI,2021,Petrol,Suv,Green,Hamm,Automatic,https://www.12gebrauchtwagen.de/c/4/1426408188?num_on_page=4&page=14&title=Cupra+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,32990,47999,221.0,6,Germany
Mercedes Benz,C-Class,220 D,2018,Diesel,Wagon,Green,Spaichingen,Automatic,https://www.12gebrauchtwagen.de/c/4/1426414585?num_on_page=3&page=86&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,20500,150000,144.0,6,Germany
Škoda,Karoq,1.5 tsi,2018,Petrol,Suv,Gray,Geilenkirchen,Automatic,https://www.12gebrauchtwagen.de/c/4/1419252985?num_on_page=3&page=3&premium=false&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,23988,53018,110.0,6,Germany
Škoda,Karoq,1.5 tsi,2018,Petrol,Suv,Silver,Ulm,Manual,https://www.12gebrauchtwagen.de/c/4/1413991431?num_on_page=1&page=13&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,20780,50700,110.0,6,Germany
Ford,Ecosport,1.0,2018,Petrol,Suv,Black,Diepholz,Automatic,https://www.12gebrauchtwagen.de/c/4/1386108522?num_on_page=2&page=67&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,17480,34868,92.0,6,Germany
Mazda,2,1.3,2011,Petrol,Mini,Green,Neumarkt in der Oberpfalz,Automatic,https://www.12gebrauchtwagen.de/c/4/1428252789?num_on_page=3&page=8&title=Mazda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,6950,70300,55.0,5,Germany
Honda,Cr-V,1.5,2019,Petrol,Suv,Black,Stuttgart,Automatic,https://www.12gebrauchtwagen.de/c/4/1426398215?num_on_page=1&page=1&title=Honda+CR-V+Benzin+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22990,53737,127.0,6,Germany
Bmw,X3,M40d,2020,Diesel,Suv,Blue,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1425961273?num_on_page=3&page=1&premium=true&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,45550,92593,240.0,6,Germany
Honda,Cr-Z,1.5 i-VTEC,2012,Hybrid,Coupe,Green,Halver,Manual,https://www.12gebrauchtwagen.de/c/4/1417304246?num_on_page=4&page=1&title=Honda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,11990,64720,84.0,5,Germany
Audi,A3,1.4 TFSI,2021,Hybrid,Sedan,Blue,Stuttgart,Automatic,https://www.12gebrauchtwagen.de/c/16/1417147125?num_on_page=3&page=47&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24940,54988,152.0,6,Germany
Volkswagen,Cc,2.0,2015,Diesel,Sedan,Black,Viersen,Automatic,https://auto24.de/anzeige/volkswagen-cc-2-0-tdi-r-3680390.html,16500,131426,103.0,6,Germany
Mercedes Benz,E-Class,220 D,2018,Diesel,Wagon,Black,Düren,Automatic,https://www.kamux.de/cars/Mercedes-Benz/E/DRN-523754,33990,79991,143.0,6,Germany
Ford,Focus,1.5 EcoBoost,2017,Petrol,Sedan,Green,Köln,Automatic,https://hey.car/vehicle/1758a570-8907-419e-a6ae-dc8c2560138e?dealerId=c60733b8-1d7d-455c-bc69-363ff082062b,16500,15900,111.0,6,Germany
Toyota,C-Hr,1.2,2018,Petrol,Suv,Green,Heidelberg,Manual,https://hey.car/vehicle/2ec2fd65-711b-40d3-8e07-c87d005c0b2c?dealerId=8d5ac32d-d75d-4012-a7e0-a916fc2e9f8b,18900,33900,86.0,6,Germany
Kia,Stonic,1.0 T-GDi,2022,Petrol,Crossover,Silver,Hamburg,Manual,https://www.12gebrauchtwagen.de/c/4/1424929496?num_on_page=2&page=16&title=Kia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16990,63109,74.0,6,Germany
Honda,Jazz,1.5 i-MMD,2022,Hybrid,Hatchback,Black,Brühl,Automatic,https://www.12gebrauchtwagen.de/c/4/1389341065?num_on_page=3&page=4&premium=false&title=Honda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22990,15088,72.0,6,Germany
Bmw,X1,xDrive23d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1413762295?num_on_page=4&page=116&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,50450,41353,155.0,6,Germany
Bmw,X1,xDrive20d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.instamotion.com/auto/FIRG-9T9D-TX76,47450,31724,120.0,6,Germany
Bmw,X1,xDrive20d,2023,Diesel,Suv,Green,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1413762028?num_on_page=3&page=117&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,50450,28199,110.0,6,Germany
Bmw,X1,xDrive20d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1425981076?num_on_page=2&page=20&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,50550,19155,120.0,6,Germany
Volkswagen,Touareg,4.0 TDI,2021,Diesel,Suv,Black,Rain,Automatic,https://www.instamotion.com/auto/XHCO-WEZK-BMG2,91590,62629,313.0,6,Germany
Volkswagen,Polo,1.0 TSI DSG,2018,Petrol,Hatchback,Gold,Dresden,Automatic,https://www.12gebrauchtwagen.de/c/4/1417722093?num_on_page=2&page=63&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,19990,18587,70.0,6,Germany
Hyundai,Kona,1.0,2021,Electric,Crossover,Black,Emsland,Automatic,https://www.12gebrauchtwagen.de/c/4/1428120233?num_on_page=2&page=7&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18490,53450,100.0,6,Germany
Hyundai,Kona,1.0 T-GDi,2021,Petrol,Crossover,Black,Landshut,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/hyundai/kona/10-t-gdi-intronaviled8xbereift-kjc9b32m,19990,47843,89.0,6,Germany
Kia,Sportage,1.6 GDi,2019,Petrol,Crossover,Black,Stuttgart,Automatic,https://www.12gebrauchtwagen.de/c/4/1428179571?num_on_page=1&page=8&title=Kia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22490,108890,130.0,6,Germany
Volvo,Xc90,2.0,2023,Diesel,Suv,Silver,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/383698453/Pkw/volvo-xc90-ultimate-bright-awd-b5-diesel-eu6d-7-sitzer,69980,6861,175.0,6,Germany
Volkswagen,Passat,2.0 TSI,2015,Diesel,Wagon,Silver,Haiger,Manual,https://www.12gebrauchtwagen.de/c/4/1391387563?num_on_page=2&page=87&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,15650,101717,110.0,6,Germany
Volkswagen,Golf,1.4 GTE,2021,Hybrid,Sedan,Black,Weilburg,Automatic,https://www.12gebrauchtwagen.de/c/16/1420708842?num_on_page=4&page=46&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24680,20710,180.0,6,Germany
Audi,A3,1.0 30 TFSI,2020,Petrol,Sedan,Black,Witten,Automatic,https://www.12gebrauchtwagen.de/c/4/1426591810?num_on_page=5&page=102&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24940,53457,81.0,6,Germany
