Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"27,839 EUR (10,945,000 HUF)",Citroen,Jumper,2.2 HDi,0 km,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4h2-22-ev-garancia-akar-300-000-km-ig/20231772
"42,478 EUR (16,700,000 HUF)",Ford,Kuga,2.5,900 km,2023,,,Suv,Black,Székesfehérvár,111 kW (151 HP),Automatic,https://www.szalonauto.hu/szemelyauto/ford/kuga/ford_kuga_kuga_2.5_phev_freedom_x_5_ajtos_152_le_2021-04-2023.06-19965480
"41,181 EUR (16,190,000 HUF)",Citroen,C5,1.6,"14,000 km",2022,,,Wagon,Green,Budaörs,132 kW (180 HP),Automatic,https://joautok.hu/hasznaltauto/citroen/c5/c5-x-16-puretech-hybrid-shine-plus-eat8-zold-rendszam-full-napfenyteto-afa-s-1/kuz5yb2/
"11,420 EUR (4,490,000 HUF)",Renault,Talisman,1.6 dci,"154,513 km",2017,Diesel,,Sedan,Brown,Budakalász,96 kW (131 HP),Automatic,https://joautok.hu/hasznaltauto/renault/talisman/talisman-grandtour-16-dci-intens-edc-mo-i-154e-km-vezetett-szkonyv-navi-led-teli-nyari-gumi-afa-s/umjaz85/
"17,923 EUR (7,046,540 HUF)",Citroen,Berlingo,1.5 bluehdi,"200,000 km",2024,Diesel,,,,Szeged,75 kW (102 HP),Automatic,https://hovany.hu/autok/citroen/berlingo-15-bluehdi-100-xl-1000-3-szemelyes-keszleten-5-os-kavosz-lizing/20231922
"16,757 EUR (6,587,940 HUF)",Citroen,Berlingo,1.5 bluehdi,"200,000 km",2024,Diesel,,,,Szeged,75 kW (102 HP),Automatic,https://hovany.hu/autok/citroen/berlingo-15-bluehdi-100-m-3-szemelyes-keszletrol-azonnal-elerheto-5-os-kavosz-lizing/20231669
"8,114 EUR (3,190,000 HUF)",Dacia,Dokker,1.5 dCi,"122,007 km",2014,,,,,,55 kW (75 HP),,https://usedcars.leaseplan.com/hu-hu/dacia-dokker/1307525-hu-dacia-dokker.html
"17,779 EUR (6,990,000 HUF)",Citroen,Berlingo,1.5 bluehdi,,2024,Diesel,,,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/berlingo-15-bluehdi-100-xl-1000-3-szemelyes-azonnal-keszletrol-tobb-dbkavosz-5-thm/20237964
"20,214 EUR (7,947,000 HUF)",Citroen,Jumpy,1.6,,2024,Diesel,,Van,,Szeged,88 kW (120 HP),Manual,https://hovany.hu/autok/citroen/jumpy-15-bluehdi-l2-3-szemelyes-startstop-tobb-db-is-azonnal-elerheto-akar-5-kavosz-thm/20256046
"10,657 EUR (4,190,000 HUF)",Suzuki,Swift,1.2 Hybrid,"115,093 km",2021,,,,,,61 kW (83 HP),,https://usedcars.leaseplan.com/hu-hu/suzuki-swift/1651471-hu-suzuki-swift.html
"11,166 EUR (4,390,000 HUF)",Suzuki,Swift,1.2 Hybrid,"114,100 km",2021,,,,,,61 kW (83 HP),,https://usedcars.leaseplan.com/hu-hu/suzuki-swift/1698447-hu-suzuki-swift.html
"27,947 EUR (10,987,500 HUF)",Citroen,Berlingo,,,2024,Electric,,,,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/berlingo-e-berlingo-50kwh-m-automata-azonnal-keszletrol-tobb-dbkavosz-5-thm/20243242
"27,815 EUR (10,935,600 HUF)",Citroen,Berlingo,,,2024,Electric,,,,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/berlingo-e-berlingo-50kwh-xl-automata-azonnal-keszletrol-tobb-dbkavosz-5-thm/20249518
"26,326 EUR (10,350,000 HUF)",Citroen,Jumper,2.2 HDi,15 km,2023,Diesel,,Van,,Kecskemét,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4-utolso-darab-keszletes-hosszitott-erosebb-motorral/20031394
