Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim,Euro norm
"28,250 EUR",Jeep,Compass,"32,765 km",2022,Diesel,Crossover,Blue,Roeselare,97 kW (132 HP),Manual,https://www.vroom.be/fr/voitures-occasion/jeep-compass-diesel-0555919/,1.6,6
"21,995 EUR",Mercedes Benz,A-Class,"89,046 km",2020,Diesel,Sedan,Gray,Brugge,85 kW (116 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/mercedes-benz/a-180/mercedes-benz-a-180-vente-511075?,,9
"40,000 EUR",Toyota,Bz4x,"21,085 km",2023,Electric,Suv,Gray,Ieper,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/toyota-bz4x-electrique-0531907/,,6
"29,975 EUR",Ford,Galaxy,"87,515 km",2018,Diesel,Mpv,Black,Izegem,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-diesel-0221886/,2.0,6
"88,450 EUR",Ford,Mustang,"1,200 km",2023,Petrol,Coupe,Blue,Machelen,378 kW (514 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-mustang-essence-0554996/,5.0,8
"64,500 EUR",Bmw,Ix,"14,737 km",2022,Electric,Suv,Black,Spiere Helkijn,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix-electrique-0508526/,,
"64,500 EUR",Bmw,Ix,"13,218 km",2022,Electric,Suv,Black,Spiere Helkijn,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix-electrique-0508525/,,
"20,750 EUR",Peugeot,208,"22,753 km",2022,Petrol,Wagon,Gray,Knokke Heist,75 kW (102 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-208-essence-0559160/,1.2,8
"16,480 EUR",Renault,Kadjar,"81,101 km",2019,Diesel,Suv,Black,Ath,86 kW (117 HP),Manual,https://www.autogids.be/detail-id--9393314--renault-intens/tweedehands.html,1.5,6
"17,450 EUR",Renault,Kadjar,"72,037 km",2019,Petrol,Suv,Silver,Turnhout,105 kW (143 HP),Manual,https://www.vroom.be/fr/voitures-occasion/renault-kadjar-essence-0441956/,1.3,6
"36,999 EUR",Volkswagen,Tiguan,"49,410 km",2021,Petrol,Crossover,Black,Aarschot,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-tiguan-essence-0523345/,1.5,6
"14,990 EUR",Bmw,2 Series,"140,173 km",2016,Petrol,Hatchback,Black,Halen,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-218-essence-0508866/,,6
