Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim,Euro norm
"19,450 EUR",Abarth,595,"67,879 km",2020,Petrol,Coupe,Gray,Ternat,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/abarth-595-competizione-essence-0546433/,1.4 competizione,6
"59,495 EUR",Mercedes Benz,Eqe,"21,200 km",2022,Electric,Sedan,Black,Izegem,217 kW (295 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-350-electrique-0481823/,350,8
"16,495 EUR",Ford,Focus,"65,007 km",2019,Diesel,Wagon,Blue,Brugge,89 kW (121 HP),Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/ford/focus/ford-focus-vente-550291?,1.5 TDCi,9
"31,950 EUR",Bmw,2 Series,"88,747 km",2021,Diesel,Hatchback,Black,Bastogne,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-218-diesel-0531467/,,6
"26,800 EUR",Ford,Galaxy,"71,065 km",2019,Petrol,Mpv,Gray,Boortmeerbeek,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-essence-0549487/,1.5,
"28,877 EUR",Ford,Galaxy,"67,734 km",2019,Petrol,Mpv,Gray,Rotselaar,123 kW (167 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-essence-0482076/,1.5,6
"89,990 EUR",Land Rover,Discovery,"3,500 km",2024,Diesel,Suv,Gray,Merelbeke,223 kW (303 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0440477/,3.0,6
"14,990 EUR",Hyundai,Kona,"98,613 km",2019,Diesel,Crossover,Black,Eupen,85 kW (116 HP),Manual,https://www.vroom.be/fr/voitures-occasion/hyundai-kona-diesel-0389185/,1.6,6
"21,900 EUR",Mini,Cooper,"100,294 km",2019,Petrol,Hatchback,Black,Halen,143 kW (194 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mini-cooper-s-countryman-essence-0547012/,2.0,8
"52,500 EUR",Audi,Q8,"105,419 km",2018,Diesel,Suv,Black,Genk,213 kW (290 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-diesel-0524598/,3.0,6
"48,900 EUR",Bmw,5 Series,"34,381 km",2022,Diesel,Wagon,Blue,Mechelen,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0389671/,520d,6
"119,995 EUR",Porsche,Taycan,"7,318 km",2023,Electric,Sedan,Gray,Brugge,445 kW (605 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0538451/,,9
"119,995 EUR",Porsche,Taycan,"6,450 km",2023,Electric,Sedan,Gray,Brugge,445 kW (605 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0538449/,,9
"32,950 EUR",Bmw,1 Series,"13,344 km",2023,Petrol,Hatchback,Black,Bastogne,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-118-essence-0531508/,,6
"91,995 EUR",Porsche,Panamera,"99,263 km",2020,Hybrid,Sedan,Gray,Brugge,500 kW (680 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/porsche/panamera/porsche-panamera-vente-509031?,4.0,6
