Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"18,098 EUR (134,900 DKK)",Opel,Crossland X,"51,000 km",2017,Petrol,Suv,Silver,Aarup,82 kW (112 HP),Manual,https://www.bilbasen.dk/brugt/bil/opel/crossland-x/12-t-110-innovation-5d/6020588,1.2 Turbo
"46,942 EUR (349,900 DKK)",Volkswagen,Touran,"66,000 km",2020,Petrol,Mpv,Black,Varde,150 kW (204 HP),Automatic,https://bilhandel.dk/vw-touran-15-tsi-150-comfortline-dsg-7prs/id-1476156,1.5 tsi
"37,551 EUR (279,900 DKK)",Mazda,Mx-5 Miata,"20,800 km",2018,Petrol,Convertible,Beige,Herlev,119 kW (162 HP),Manual,https://www.bilbasen.dk/brugt/bil/mazda/mx-5/20-skyactiv-g-160-roadster-2d/5975992,2.0
"33,513 EUR (249,800 DKK)",Seat,Leon,"36,000 km",2020,Petrol,Hatchback,White,Frederikssund,150 kW (204 HP),Automatic,https://bilhandel.dk/seat-leon-15-tsi-150-fr-st-dsg/id-1556775,1.5 tsi
"30,843 EUR (229,900 DKK)",Audi,Q2,"45,000 km",2017,Diesel,Crossover,Black,Ballerup,86 kW (117 HP),Manual,https://www.bilbasen.dk/brugt/bil/audi/q2/16-tdi-116-sport-5d/4978765,1.6 TDI
"29,448 EUR (219,500 DKK)",Audi,Q2,"78,000 km",2018,Petrol,Crossover,Black,Bredebro,111 kW (151 HP),Automatic,https://www.autouncle.dk/en/d/4748449-used-audi-q2-tfsi-s-tr,1.4 TFSI
"20,123 EUR (150,000 DKK)",Citroen,C4 Cactus,"50,000 km",2018,Diesel,Hatchback,Red,Gadstrup,100 kW (136 HP),Manual,https://bilhandel.dk/citroen-c4-cactus-16-bluehdi-100-skyline/id-1445559,1.6
"14,717 EUR (109,700 DKK)",Ford,C-Max,"146,000 km",2016,Petrol,Mpv,Black,Ringkøbing,93 kW (126 HP),Manual,https://www.bilbasen.dk/brugt/bil/ford/c-max/10-scti-125-titanium-5d/5980838,1.0
"44,930 EUR (334,900 DKK)",Mercedes Benz,Eqb,"13,000 km",2022,Electric,Suv,Black,Silkeborg,190 kW (258 HP),Automatic,https://bilhandel.dk/mercedes-eqb-250-mercedes-eqb250-progressive/id-1575792,250
"28,817 EUR (214,800 DKK)",Volkswagen,Polo,"22,000 km",2020,Petrol,Hatchback,White,Frederikssund,115 kW (156 HP),Automatic,https://bilhandel.dk/vw-polo-10-tsi-115-highline-dsg/id-1556185,1.0 TSI DSG
"25,463 EUR (189,800 DKK)",Jeep,Renegade,"120,000 km",2020,Diesel,Crossover,White,Hillerød,120 kW (163 HP),Automatic,https://bilhandel.dk/jeep-renegade-16-mjt-120-limited-dct/id-1555948,1.6 Limited
"48,297 EUR (359,999 DKK)",Tesla,Model Y,"20,000 km",2022,Electric,Suv,White,Fredericia,383 kW (521 HP),Automatic,https://www.bilbasen.dk/brugt/bil/tesla/model-y/long-range-awd-5d/6058946,0.0 long range
"13,402 EUR (99,900 DKK)",Volkswagen,Up!,"41,000 km",2017,Petrol,Mini,White,Brøndby,44 kW (60 HP),Manual,https://usedcars.leaseplan.com/da-dk/volkswagen-up/WVWZZZAAZJD147133.html,1.0
"50,967 EUR (379,900 DKK)",Mercedes Benz,Eqa,"50,000 km",2022,Electric,Hatchback,Black,Ringsted,141 kW (192 HP),Automatic,https://www.autouncle.dk/en/d/4770012-used-mercedes-eqa250-amg-line,
