Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Price(EUR),Mileage(km),kW,Emission standard,Country
Audi,A4,2020,Diesel,Wagon,Silver,Sint Gillis Waas,Automatic,https://www.autogids.be/detail-id--9437583--audi-2674-sline190pk4wd-dak-ahktrek/tweedehands.html,2.0,37990,47140,141.0,6,Belgium
Volkswagen,Golf,2023,Petrol,Sedan,Black,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-golf-essence-0524290/,2.0,47990,9218,238.0,6,Belgium
Land Rover,Defender,2023,Petrol,Suv,Green,Merelbeke,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-defender-essence-0545177/,3.0,89990,14990,298.0,6,Belgium
Land Rover,Range Rover Sport,2022,Diesel,Suv,Gray,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-sport-diesel-0521262/,3.0,68995,34914,185.0,6,Belgium
Audi,A3,2021,Diesel,Sedan,Blue,Tienen,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2021-vente-555246?,2.0 .35 TDI,33990,54925,111.0,6,Belgium
Audi,A3,2021,Diesel,Sedan,Black,Tienen,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2021-vente-528031?,2.0 .35 TDI,32990,11132,111.0,6,Belgium
Peugeot,5008,2022,Diesel,Mpv,White,Arlon,Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-5008-diesel-0367118/,1.5,38990,25500,96.0,6,Belgium
Ssangyong,Korando,2020,Petrol,Suv,Blue,Roeselare,Automatic,https://www.vroom.be/fr/voitures-occasion/ssangyong-korando-essence-0538376/,1.5,24990,17206,121.0,6,Belgium
Audi,Q3,2023,Petrol,Crossover,White,Tongeren,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-essence-0544106/,1.5 35 TFSI,42500,28471,111.0,6,Belgium
Hyundai,Kona,2019,Electric,Crossover,Red,Sint Niklaas,Automatic,https://www.autogids.be/detail-id--9463195--hyundai-electric-64kwh-sky-full-option/tweedehands.html,2.0,29900,45000,152.0,6,Belgium
Volvo,Xc40,2020,Electric,Crossover,Blue,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-xc40-hybride-essence-0512341/,1.5,35750,29000,194.0,6,Belgium
Nissan,X-Trail,2017,Diesel,Suv,Black,Roeselare,Manual,https://www.autogids.be/detail-id--9457818--nissan-1-6d-7-zit-pano-dak-gps-dab-sensoren-360-camera/tweedehands.html,1.6,19500,59094,97.0,6,Belgium
