Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"108,900 EUR",Ferrari,F355,3.5,"55,000 km",1999,Petrol,,Convertible,Red,Villingen Schwenningen,280 kW (381 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424764103?num_on_page=2&page=5&title=Ferrari+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"12,950 EUR",Ford,Focus,1.5 EcoBoost,"82,900 km",2014,Petrol,6,Wagon,Blue,Waldshut Tiengen,110 kW (150 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1415977553?num_on_page=3&page=14&premium=false&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"10,990 EUR",Audi,A3,1.2 TFSI,"177,010 km",2011,Diesel,,Convertible,Black,Hamm,104 kW (141 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1426534399?num_on_page=3&page=5&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"18,450 EUR",Hyundai,Kona,1.0 T-GDi,"81,750 km",2019,Petrol,6,Crossover,Green,Stuttgart,130 kW (177 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1428412160?num_on_page=4&page=29&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"29,351 EUR",Audi,Q2,1.5 35 TFSI,"24,650 km",2022,Petrol,6,Crossover,Black,Rain,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1426175044?num_on_page=1&page=10&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"18,680 EUR",Audi,A1,1.0 25 TFSI,"68,730 km",2021,Petrol,,Mini,White,Rain,70 kW (95 HP),Manual,https://www.instamotion.com/auto/IP4Q-NZ2M-GB9W
"24,999 EUR",Volkswagen,Tiguan,2.0,"67,000 km",2020,Diesel,6,Crossover,Black,Blaubeuren,111 kW (151 HP),Manual,https://www.12gebrauchtwagen.de/c/16/1418977220?num_on_page=3&page=26&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"14,999 EUR",Citroen,C3 Aircross,1.2,"74,368 km",2021,Petrol,,Suv,Black,Oberhausen,81 kW (110 HP),Manual,https://www.kamux.de/cars/Citroen/C3-Aircross/HEI-288649
"52,890 EUR",Volvo,Xc60,2.0 B4,"12,280 km",2023,Diesel,6,Crossover,Gray,Aachen,146 kW (199 HP),Automatic,https://www.moll-automobile.de/fahrzeug/383899641/Pkw/volvo-xc60-ultimate-dark-2wd-b4-diesel-eu6d-hud-ad-dig
"22,990 EUR",Ford,Kuga,1.5 EcoBoost,"21,787 km",2021,Petrol,6,Suv,Silver,Wurzen,110 kW (150 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1415748906?num_on_page=4&page=25&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"16,990 EUR",Bmw,1 Series,118d,"53,201 km",2013,Diesel,,Convertible,Black,Geilenkirchen,100 kW (136 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1337361496?num_on_page=2&page=76&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"10,492 EUR",Ford,Focus,1.0 EcoBoost,"111,432 km",2013,Petrol,,Sedan,Red,Ostfildern,110 kW (150 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1426635792?num_on_page=3&page=18&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"36,990 EUR",Hyundai,Tucson,1.6 GDi,10 km,2023,Hybrid,6,Suv,Black,Paderborn,195 kW (265 HP),Automatic,https://www.moll-automobile.de/fahrzeug/381259228/Pkw/hyundai-tucson-blackline-mild-hybrid-2wd-1-6-t-gdi-eu6d
"32,980 EUR",Volvo,V90,2.0 T6 AWD,"101,500 km",2018,Petrol,6,Wagon,Blue,Aachen,231 kW (314 HP),Automatic,https://www.moll-automobile.de/fahrzeug/382792689/Pkw/volvo-v90-cross-country-cross-country-pro-awd-t6-eu6d
"16,990 EUR",Kia,Xceed,1.0 T-GDi,"62,931 km",2021,Diesel,,Crossover,White,Lage,88 kW (120 HP),Manual,https://www.kamux.de/cars/Kia/Xceed/DRN-063240
"17,890 EUR",Citroen,C4,1.2,"31,549 km",2021,Petrol,6,Sedan,Black,Berlin,97 kW (132 HP),Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/citroen/c4/limpt-130-ss-feeleinpark-hinten-kjc9mkck
"16,950 EUR",Volkswagen,Golf,1.6 TDI,"92,697 km",2019,Diesel,6,Wagon,Black,Viersen,85 kW (116 HP),Automatic,https://www.waldhausen-buerkel.de/fahrzeuge/volkswagen/golf-vii-var-16-tdi-comfortline-dsg-acc-navi/details-t4c8dt57
"24,480 EUR",Mazda,6,2.5,"66,246 km",2019,Petrol,,Wagon,Green,Teltow,143 kW (194 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424537133?num_on_page=2&page=13&premium=false&title=Mazda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"16,880 EUR",Volkswagen,Golf,1.0 tsi,"38,540 km",2019,Petrol,6,Sedan,Black,Weilburg,85 kW (116 HP),Manual,https://www.12gebrauchtwagen.de/c/16/1420781738?num_on_page=1&page=77&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"17,998 EUR",Mercedes Benz,E-Class,220,"157,100 km",2015,Diesel,,Wagon,Black,Dresden,126 kW (171 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1426442436?num_on_page=5&page=28&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"23,990 EUR",Volkswagen,Polo,1.0 tsi,"3,990 km",2023,Petrol,,Hatchback,Black,Rain,70 kW (95 HP),Manual,https://www.instamotion.com/auto/QJSM-ROME-ZMDX
"16,777 EUR",Volkswagen,Golf,1.6 TDI,"107,017 km",2019,Diesel,,Wagon,Green,Schorndorf,86 kW (117 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424689811?num_on_page=1&page=89&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
