Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"26,799 EUR",Peugeot,508,1.6 puretech,"35,053 km",2020,Petrol,Sedan,Gray,Saint-Cyr-sur-Loire,134 kW (182 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/peugeot-508/peugeot-508-puretech-180ch-s-s-gt-line-eat8-10cv/NEKIHSOK.html
"14,900 EUR",Škoda,Fabia,1.0 tsi,"42,518 km",2020,Petrol,Sedan,Blue,Hérouville Saint Clair,69 kW (94 HP),Manual,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_25003556_VO001003
"13,400 EUR",Ford,Fiesta,1.0 EcoBoost,"45,800 km",2016,Petrol,Sedan,Black,Montélimar,100 kW (136 HP),Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000043_VO231310
"10,999 EUR",Peugeot,308,1.2 puretech,"103,845 km",2015,Petrol,Wagon,Gray,Poitiers,82 kW (112 HP),Manual,https://www.autosphere.fr/fiche/auto-occasion-peugeot-308-sw-1-2-puretech-110ch-allure-s-s-86000-poitiers-2101134
"48,900 EUR",Porsche,Macan,3.6 Turbo,"90,990 km",2015,Petrol,Suv,Black,Tours,400 kW (544 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-3-6-v6-400-turbo-pdk/0JJP4VU8.html
"37,990 EUR",Lexus,Rx,450h,"58,987 km",2016,Hybrid,Suv,Blue,Champagne-au-Mont-d'Or,196 kW (267 HP),Automatic,https://www.autosphere.fr/fiche/auto-occasion-lexus-rx-450h-4wd-executive-69410-champagne-au-mont-d-or-062705
"36,590 EUR",Lexus,Rc,300h,"59,320 km",2019,Hybrid,Coupe,Red,Champagne-au-Mont-d'Or,134 kW (182 HP),Automatic,https://www.autosphere.fr/fiche-mixte/auto-occasion-lexus-rc-300h-executive-my19-69410-champagne-au-mont-d-or-062531
"19,490 EUR",Škoda,Kamiq,1.0 tsi,767 km,2020,Petrol,Suv,White,Le Blanc,86 kW (117 HP),Automatic,https://occasion.autoplus.fr/voiture-occasion-skoda-kamiq-kamiq-10-tsi-116-ch-dsg7-657710/
"21,990 EUR",Bmw,4 Series,,299 km,2016,Diesel,Sedan,Black,Tours,137 kW (186 HP),Automatic,https://occasion.autoplus.fr/voiture-occasion-bmw-gran-coupe-420da-184ch-luxury-725438/
"39,490 EUR",Lexus,Rx,3.5 450h,"113,346 km",2019,Hybrid,Suv,Black,Tours,263 kW (358 HP),Automatic,https://www.auto-selection.com/voiture-occasion/lexus-rx/23818643.html
