Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Seat,Leon,1.5 tsi,2023,Petrol,Hatchback,Silver,Wien,Manual,https://www.dasweltauto.at/vehicle/15054358,28170,201,97.0,6,Austria
Seat,Leon,1.0 eTSI,2023,Petrol,Hatchback,White,Bruck An Der Mur,Automatic,https://www.zweispurig.at/seat-leon-tageszulassung-benzin-weiss-steiermark/details-1191780,34300,200,82.0,6,Austria
Seat,Leon,2.0,2023,Diesel,Hatchback,Gray,Klagenfurt,Automatic,https://www.dasweltauto.at/vehicle/569505650,43481,100,111.0,6,Austria
Seat,Leon,1.5 tsi,2023,Petrol,Hatchback,Black,Klagenfurt,Manual,https://www.dasweltauto.at/vehicle/569505625,31490,100,97.0,6,Austria
Seat,Leon,1.0 tsi,2023,Petrol,Hatchback,White,Klagenfurt,Manual,https://www.dasweltauto.at/vehicle/569505664,27590,100,82.0,6,Austria
Audi,A4,2.0 30 TDI S tronic,2020,Diesel,Sedan,Black,Hallein,Automatic,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-schwarz-salzburg/details-1201687,29990,105900,101.0,6,Austria
Mitsubishi,Outlander,2.3 did,2015,Diesel,Suv,Black,Wien,Automatic,https://www.zweispurig.at/mitsubishi-outlander-gebrauchtwagen-diesel-mehrere-erhaeltlich-wien/details-1239156,19660,83855,111.0,6,Austria
Audi,A6,2.0 TDI Ultra,2017,Diesel,Wagon,Black,Steyr,Automatic,https://www.dasweltauto.at/vehicle/31306825,28990,50076,141.0,6,Austria
Mercedes Benz,Glc-Class,43 AMG 4MATIC,2021,Petrol,Suv,Blue,Lustenau,Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-benzin-blau-vorarlberg/details-1230541,59990,49500,290.0,6,Austria
Mercedes Benz,E-Class,63 AMG 4MATIC+,2018,Petrol,Wagon,Gray,Salzburg,Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-grau-salzburg/details-1233664,84890,87751,425.0,6,Austria
Mercedes Benz,E-Class,63 AMG,2018,Petrol,Coupe,Black,Schwaz,Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-schwarz-tirol/details-1196217,41900,48000,137.0,6,Austria
Volkswagen,Tiguan,2.0 TDI 4Motion,2021,Diesel,Crossover,Black,Klagenfurt,Automatic,https://www.dasweltauto.at/vehicle/64015935,46600,26500,111.0,6,Austria
Mercedes Benz,C-Class,180,2019,Diesel,Sedan,Blue,Lienz,Manual,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-blau-tirol/details-1223388,23900,109000,90.0,6,Austria
Nissan,X-Trail,1.6,2016,Diesel,Suv,Black,Wien,Manual,https://www.zweispurig.at/nissan-x-trail-gebrauchtwagen-diesel-schwarz-niederoesterreich/details-1223616,15490,115000,97.0,6,Austria
Audi,A4,2.0 35 TDI S tronic,2021,Diesel,Wagon,Black,Wien,Automatic,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-schwarz-niederoesterreich/details-1243987,18500,192000,121.0,6,Austria
Porsche,Macan,3.0 S Diesel,2017,Diesel,Suv,Gray,Kufstein,Automatic,https://www.zweispurig.at/porsche-macan-gebrauchtwagen-diesel-grau-tirol/details-1241584,44900,95000,192.0,6,Austria
Volkswagen,Touran,2.0,2015,Diesel,Mpv,White,Salzburg,Manual,https://www.zweispurig.at/vw-touran-gebrauchtwagen-diesel-weiss-salzburg/details-1176309,18490,140000,111.0,6,Austria
Hyundai,Kona,1.6,2023,Petrol,Crossover,Blue,Telfs,Automatic,https://www.zweispurig.at/hyundai-kona-jahreswagen-benzin-blau-tirol/details-1221822,36890,11,78.0,6,Austria
Fiat,Talento,1.6 Multijet L2H1,2017,Diesel,Van,Gray,Spittal An Der Drau,Manual,https://www.zweispurig.at/fiat-talento-gebrauchtwagen-diesel-grau-kaernten/details-1218059,16980,123000,89.0,6,Austria
Jaguar,I-Pace,EV400S,2019,Electric,Suv,Gray,Wien,Automatic,https://www.zweispurig.at/jaguar-i-pace-gebrauchtwagen-elektro-grau-niederoesterreich/details-1243975,30500,74700,298.0,6,Austria
Jaguar,F-Type,2.0 P300,2018,Petrol,Convertible,Gray,Wiener Neustadt,Semi Automatic,https://www.zweispurig.at/jaguar-f-type-gebrauchtwagen-benzin-grau-niederoesterreich/details-1185859,47999,75000,224.0,6,Austria
Seat,Leon,2.0,2024,Diesel,Hatchback,Black,Rankweil,Automatic,https://www.dasweltauto.at/vehicle/81725320,38490,5000,111.0,6,Austria
Seat,Leon,1.0 eTSI,2024,Petrol,Hatchback,Gray,Graz,Automatic,https://www.dasweltauto.at/vehicle/40000028,34390,5000,82.0,6,Austria
Seat,Leon,1.0 tsi,2023,Petrol,Hatchback,Red,Bruck An Der Mur,Manual,https://www.zweispurig.at/seat-leon-gebrauchtwagen-benzin-rot-steiermark/details-1219314,23790,6700,67.0,6,Austria
