Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"54,537 EUR",Bmw,X3,M40d,"46,080 km",2023,Diesel,Suv,White,Arad,253 kW (344 HP),Automatic,https://bavariaused.com/produs/bmw-x3-m40d-duwrsg9jk2c2l0hmwee9pq/,6
"51,176 EUR",Bmw,X3,xDrive30d,"36,099 km",2023,Diesel,Suv,Blue,Arad,213 kW (290 HP),Automatic,https://bavariaused.com/produs/bmw-x3-xdrive30d-duwrsg9jk2c2dnjiwee9pq/,6
"75,546 EUR",Bmw,7 Series,740d xDrive,"25,098 km",2022,Diesel,Sedan,Black,Arad,222 kW (302 HP),Automatic,https://bavariaused.com/produs/bmw-740d-xdrive-duwrqw9jk2g2l1hzwee9pq/,6
"54,537 EUR",Bmw,X3,M40d,"24,263 km",2022,Diesel,Suv,Black,Arad,253 kW (344 HP),Automatic,https://bavariaused.com/produs/bmw-x3-m40d-duwrsg9jk2c2l0hrwee9pq/,6
"43,613 EUR",Bmw,X3,xDrive20d,"15,320 km",2022,Diesel,Suv,Gray,Arad,141 kW (192 HP),Automatic,https://bavariaused.com/produs/bmw-x3-xdrive20d-duwrsg9jk2c2l0rjwee9pq/,6
"91,344 EUR",Bmw,M8,4.4,"25,901 km",2023,Petrol,Convertible,Black,Arad,466 kW (634 HP),Automatic,https://bavariaused.com/produs/bmw-m8-competition-cabrio-xdrive-duwrsg9jk2c2ugzmwee9pq/,6
"44,453 EUR",Bmw,M2,,"52,060 km",2021,Petrol,Coupe,Black,Arad,306 kW (416 HP),Automatic,https://bavariaused.com/produs/bmw-m2-competition-duwrsg9jk2c2l2zlwee9pq/,6
"33,327 EUR",Bmw,X1,,"25,160 km",2023,Petrol,Suv,White,Arad,101 kW (137 HP),Automatic,https://bavariaused.com/produs/bmw-x1-sdrive18i-duwrqw9jk2k2ufhawee9pq/,6
"66,798 EUR",Bmw,X7,,"72,637 km",2022,Diesel,Suv,Black,Arad,253 kW (344 HP),Automatic,https://bavariaused.com/produs/bmw-x7-xdrive40d-duwrsg9jk2c2dkhhwee9pq/,6
"24,285 EUR",Bmw,X1,,"52,203 km",2021,Hybrid,Suv,White,Arad,164 kW (223 HP),Automatic,https://bavariaused.com/produs/bmw-x1-xdrive25e-duwrsg9jk2c2znziwee9pq/,6
"18,857 EUR",Mini,One,1.6,"1,946 km",2021,Petrol,Mini,Blue,Arad,76 kW (103 HP),Manual,https://bavariaused.com/produs/mini-one-duwrsg9jk2c2dnjlwee9pq/,6
"62,941 EUR",Bmw,8 Series,M850i xDrive,"42,891 km",2023,Petrol,Coupe,White,Arad,395 kW (537 HP),Automatic,https://bavariaused.com/produs/bmw-m850i-xdrive-duwrsg9jk2c3uerrwee9pq/,6
"15,957 EUR",Mini,One,1.6,"27,296 km",2021,Petrol,Mini,Black,Arad,76 kW (103 HP),Manual,https://bavariaused.com/produs/mini-one-duwrsg9jk2c2dlrmwee9pq/,6
"62,176 EUR",Bmw,X5,,"34,409 km",2022,Hybrid,Suv,Gray,Arad,293 kW (398 HP),Automatic,https://bavariaused.com/produs/bmw-x5-xdrive45e-duwrsg9jk2c2l3jkwee9pq/,6
"17,990 EUR",Mazda,Cx-30,1.8,"188,000 km",2019,Diesel,Crossover,Black,Ploieşti,86 kW (117 HP),Automatic,https://lajumate.ro/mazda-cx-30fab-102019euro518-diesel-116cp-posibilitate-rate-15423431.html,6
"12,600 EUR",Dacia,Duster,1.5 dCi,"156,330 km",2018,Diesel,Suv,,Cluj Napoca,,Manual,https://www.anuntul.ro/anunt-autoturism-dacia-duster-BqWk7Z#z3NBDd%20,
"14,000 EUR",Hyundai,Ix35,1.7,"228,592 km",2011,Diesel,Crossover,,Bucureşti,,Manual,https://www.anuntul.ro/anunt-autoturism-hyundai-ix35-ear23y#z3NBDd%20,
