Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"15,900 EUR",Volkswagen,Polo,1.0 tsi,"60,097 km",2019,Petrol,Hatchback,White,Tilburg,70 kW (95 HP),Manual,https://www.marktplaats.nl/v/auto-s/volkswagen/m2081808071-volkswagen-polo-1-0-tsi-comfortline-apple-carplay-android,
"15,925 EUR",Volkswagen,Polo,1.0 tsi,"47,126 km",2019,Petrol,Hatchback,Gray,Bergschenhoek,72 kW (98 HP),Automatic,https://www.marktplaats.nl/v/auto-s/volkswagen/m2086959464-volkswagen-polo-1-0-tsi-comfortline-navigatie-bj-2019,6
"16,925 EUR",Volkswagen,Polo,1.0 tsi,"42,082 km",2019,Petrol,Hatchback,Silver,Moordrecht,72 kW (98 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/kleine-auto/vehicle/2550862/volkswagen-polo-10-tsi-comfortline-business-5-deurs-navigatie-airco,6
"12,900 EUR",Ford,Fiesta,1.0 EcoBoost,"104,896 km",2019,Petrol,Hatchback,Black,Tilburg,75 kW (102 HP),Manual,https://www.vanmossel.nl/voorraad/s/1384618-ford-fiesta,
"11,199 EUR",Renault,Clio,1.0 tce,"131,386 km",2019,Petrol,Hatchback,Black,Nuenen,132 kW (180 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/kleine-auto/vehicle/2551036/renault-clio-10-tce-zen-101-pk-nieuw-model-dealeronderhouden-lmv-cruise-parksens-achter-dab-apple-carplay,
"16,200 EUR",Škoda,Octavia,1.0 tsi,"82,287 km",2018,Petrol,Wagon,Gray,Rijswijk,86 kW (117 HP),Automatic,https://www.autoscout24.nl/aanbod/skoda-octavia-1-0-tsi-115-pk-6-bak-combi-greentech-ambition-busi-benzine-grijs-5dda5c37-2fb7-4435-87d3-4c8122b91336,
"18,595 EUR",Ford,Fiesta,1.0 st,"38,692 km",2018,Petrol,Hatchback,White,Eindhoven,104 kW (141 HP),Manual,https://www.autoscout24.nl/aanbod/ford-fiesta-1-0-140pk-st-line-x-half-leder-interieur-panorama-benzine-wit-fd2db17b-47ee-453e-9293-3e93c1c1a1d6,
"12,948 EUR",Mazda,Cx-5,2.2 D,"203,085 km",2013,Diesel,Crossover,White,Emmen,130 kW (177 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/mazda/cx-5-22d-hp-gt-m-4wd-automaat-ecc-cruise-control-schuifdak-navigatie-trekhaak-inruil-mogelijk/18801253,
"17,900 EUR",Peugeot,3008,1.2 puretech,"103,190 km",2019,Petrol,Crossover,Black,Rijswijk,97 kW (132 HP),Automatic,https://www.autokopen.nl/tweedehands-auto/peugeot/3008/9195709-peugeot-3008-12-puretech-130-pk-automaat-active,
"3,895 EUR",Kia,Picanto,1.0,"105,708 km",2010,Petrol,Mini,Black,Emmen,46 kW (63 HP),Manual,https://www.autoscout24.nl/aanbod/kia-picanto-1-0-seven-airco-elektrische-ramen-radio-benzine-zwart-acd26025-f546-4da3-9914-4ddddce4b384,
"3,299 EUR",Seat,Ibiza,1.2 sport tsi,"276,238 km",2011,Petrol,Wagon,Silver,Wierden,78 kW (106 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/stationwagen/vehicle/2521610/seat-ibiza-st-12-tsi-sport-trekhaak,
"16,700 EUR",Citroen,C3,1.2 puretech,"73,055 km",2019,Petrol,Hatchback,Black,Waalwijk,82 kW (112 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/citroen/c3-puretech-110-eat6-sens-shine-panorama-dak-navi-apple-carplay-airco-trekhaak/18760145,
"17,950 EUR",Audi,A4,2.8,"213,211 km",2013,Diesel,Wagon,Black,Strijen,182 kW (248 HP),Automatic,https://www.autoscout24.nl/aanbod/audi-a4-avant-3-0-tdi-quattro-pro-line-spanoramadaks-lin-diesel-zwart-a26b1a41-2e9e-4eeb-b9d0-ed23541fc6cf,
