Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"47,650 EUR (539,900 SEK)",Ford,Mustang,5.0 GT,"15,590 km",2023,Petrol,Convertible,Black,Motala,331 kW (450 HP),Manual,https://www.bytbil.com/ostergotlands-lan/personbil-mustang-gt-5-0-v8-convertible-450hk-euro-6-9404-17252428
"715,000 EUR",Audi,Rsq3,2.5 TFSI,"24,000 km",2020,Petrol,Crossover,Black,Falkenberg,294 kW (400 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-rsq3-sportback-s-matrix-bo-cockpit-carbon-400hk-21-8959-17265804
"50,297 EUR (569,900 SEK)",Lexus,Rx,450h,"15,950 km",2022,Petrol,Suv,Black,Uppsala,193 kW (262 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-rx-450h-awd-sport-edition-vhjulkampanj-10564-17193651
"33,087 EUR (374,900 SEK)",Audi,A7,3.0 TDI,"55,930 km",2017,Diesel,Sedan,White,Sollentuna,160 kW (218 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-a7-sportback-3-0-tdi-v6-clean-diesel-quattro-s-tronic-euro-6-218-8520-16667604
"6,610 EUR (74,900 SEK)",Volvo,V50,2.4,"189,480 km",2024,Diesel,Wagon,Silver,Uppsala,125 kW (170 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-v50-2-4-momentum-170hk-kamrem-bytt-100078-17566685
"364,900 EUR",Volvo,Xc60,2.0 RECHARGE T8,"80,840 km",2019,Hybrid,Crossover,White,Uppsala,223 kW (303 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-xc60-recharge-t8-awd-adv-edi-pano-voc-nav-blis-8589-17595569
"359,900 EUR",Bmw,3 Series,320d,"81,750 km",2019,Diesel,Sedan,Black,Norrköping,140 kW (190 HP),Automatic,https://www.bytbil.com/ostergotlands-lan/personbil-320-d-xdrive-sedan-steptronic-m-sport-euro-6-10725-17339349
"4,280 EUR (48,500 SEK)",Hyundai,I30,1.6 CRDi,"204,700 km",2010,Diesel,Hatchback,Silver,Karlstad,85 kW (116 HP),Manual,https://www.bytbil.com/varmlands-lan/personbil-i30-cw-1-6-crdi-2brukare-valservad-drag-besiktad-1325-17589887
"17,907 EUR (202,900 SEK)",Audi,Q5,2.0 TDI quattro,"178,440 km",2016,Diesel,Suv,White,Jönköping,141 kW (192 HP),Automatic,https://www.bytbil.com/jonkopings-lan/personbil-q5-quattro-2-0-tdi-design-exclusive-drag-bluetooth-190hk-7486-17592531
"9,699 EUR (109,900 SEK)",Volkswagen,Scirocco,1.1,"147,000 km",2014,Petrol,Coupe,Black,Falun,119 kW (162 HP),Manual,https://www.bytbil.com/dalarnas-lan/personbil-scirocco-1-4-tsi-premium-160hm-varmnybesiktigad-9908-17086004
"45,796 EUR (518,900 SEK)",Volkswagen,Touareg,3.0 TDI,"88,940 km",2019,Diesel,Suv,White,Skellefteå,213 kW (290 HP),Automatic,https://bilweb.se/vasterbottens-lan/volkswagen-touareg-3-0-v6-4m-r-line-navi-d-varm-kamera-2019-suv-10763559
"14,553 EUR (164,900 SEK)",Mazda,3,1.8,"87,000 km",2017,Diesel,Hatchback,Black,Kristianstad,110 kW (150 HP),Manual,https://www.bytbil.com/skane-lan/personbil-3-sport-2-2-skyactiv-d-manuell-150hkv-hjul-1103-skatt-1352-17596329
"4,404 EUR (49,900 SEK)",Kia,Rio,1.1,"135,000 km",2010,Diesel,Sedan,White,Karlskrona,71 kW (97 HP),Manual,https://www.bytbil.com/blekinge-lan/personbil-rio-1-4-nykamrem-nyservad-11532-17596787
"87,374 EUR (990,000 SEK)",Mercedes Benz,Gls-Class,,"57,700 km",2019,Diesel,Suv,Blue,Eskilstuna,243 kW (330 HP),Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-gls-400-d-4matic-amg-moms-se-spec-5808-17115249
"70,517 EUR (799,000 SEK)",Bmw,M2,,"3,080 km",2023,Petrol,Coupe,Black,Kungsbacka,338 kW (460 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-m2-coupe-460hk-m-performance-chassi-leasebar-8210-17562152
"10,140 EUR (114,900 SEK)",Kia,Ceed,1.6 CRDi,"156,000 km",2016,Diesel,Hatchback,Black,Eskilstuna,101 kW (137 HP),Manual,https://www.blocket.se/annons/1000825086
"75,009 EUR (849,900 SEK)",Mercedes Benz,G-Class,55 AMG,"103,000 km",2016,Diesel,Suv,Black,Eskilstuna,,Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-g-350-d-amg-lwb-7g-tronic-sport-euro-6kamera-7945-17581399
"33,449 EUR (379,000 SEK)",Volvo,Xc60,2.0 RECHARGE T8,"128,000 km",2019,Hybrid,Crossover,White,Goteborg,225 kW (306 HP),Automatic,https://bilweb.se/vastra-gotalands-lan/volvo-xc60-recharge-t8-awd-inscription-se-utr-2019-suv-10752957
