Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"77,446 EUR (30,526,125 HUF)",Mercedes Benz,300,3.0 D,10 km,2023,Diesel,,Wagon,,Budaörs,176 kW (239 HP),Automatic,https://hovany.hu/autok/mercedes-benz/v-osztaly-v-300-bluetec-d-marco-polo-horizon-l-automata/20322783
"19,002 EUR (7,490,000 HUF)",Volkswagen,Golf,,"95,516 km",2021,Petrol,,Wagon,,,110 kW (150 HP),,https://usedcars.leaseplan.com/hu-hu/volkswagen-golf-variant/1703863-hu-volkswagen-golfvariant.html
"28,726 EUR (11,322,800 HUF)",Mazda,3,2.0 SKYACTIV,1 km,2023,Petrol,,Hatchback,,,110 kW (150 HP),Manual,https://www.szalonauto.hu/szemelyauto/mazda/3/mazda_3_hatchback_2.0_e-skyactiv_homura_navi_keszleten_akar_4.9_thm_markekereskedesbol-19878951
"11,414 EUR (4,499,000 HUF)",Mazda,Cx-5,2.2 D,"112,422 km",2014,Diesel,,Crossover,White,,110 kW (150 HP),Automatic,https://joautok.hu/hasznaltauto/mazda/cx-5/cx-5-22-cd-attraction-4wd-automata-magyar-2-tulaj-szervizkonyves/k7gsv28/
"10,883 EUR (4,290,000 HUF)",Ford,Fiesta,1.0 EcoBoost,"110,772 km",2019,Petrol,,,,,74 kW (101 HP),,https://usedcars.leaseplan.com/hu-hu/ford-fiesta/1580305-hu-ford-fiesta.html
"56,551 EUR (22,290,000 HUF)",Alfa Romeo,Giulia,2.0,"1,000 km",2023,Petrol,,Sedan,Gray,Budaörs,206 kW (280 HP),Automatic,https://joautok.hu/hasznaltauto/alfa-romeo/giulia/giulia-20-multiair-competizione-automata-legmagasabb-felszereltseg-mar-nem-rendelheto-matt-szurke-1/kbagd2x/
"15,704 EUR (6,190,000 HUF)",Ford,Puma,1.0 EcoBoost,"75,872 km",2021,Petrol,,,,,92 kW (125 HP),,https://usedcars.leaseplan.com/hu-hu/ford-puma/1695608-hu-ford-puma.html
"28,458 EUR (11,217,290 HUF)",Citroen,C4,1.5 bluehdi,,2024,Diesel,,Hatchback,White,Szeged,96 kW (131 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4/citroen_c4_1.5_bluehdi_max_eat8_magas_felszereltsegu_keszletes_auto-20323148
"27,747 EUR (10,937,000 HUF)",Ssangyong,Torres,1.5,1 km,2024,Petrol,,Crossover,Green,,120 kW (163 HP),Automatic,https://auto.jofogas.hu/tolna/Ssangyong_Torres_1_5_Turbo_GDI_Club__Automata_____142260672.htm
"25,395 EUR (10,010,000 HUF)",Citroen,C4,1.5 bluehdi,,2024,Diesel,,Hatchback,Red,Kecskemét,96 kW (131 HP),Automatic,https://hovany.hu/autok/citroen/c4-15-bluehdi-plus-eat8-kedvezo-lizing-akar-399-thm/20248777
"38,050 EUR (14,997,790 HUF)",Citroen,C4,,"6,000 km",2024,Electric,,,Green,Szeged,100 kW (136 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4_x/citroen_c4_x_e-c450kwh_shine_teljesen_elektromos_szalonauto-20239141
"32,448 EUR (12,790,000 HUF)",Volkswagen,T-Roc,1.5 tsi,,2024,Petrol,,Crossover,Gray,Kisvárda,110 kW (150 HP),Automatic,https://www.hasznaltauto.hu/szemelyauto/volkswagen/t-roc/volkswagen_t-roc_1.5_tsi_act_style_dsg_150_le_easy_open_teli_csomag_tolato_kamera-20237008#sid=4aa639bd-2b35-4ddb-8a73-c6d75bcfd081
"24,076 EUR (9,490,000 HUF)",Jeep,Avenger,,1 km,2023,Petrol,,,Gray,Budaörs,73 kW (99 HP),Manual,https://joautok.hu/hasznaltauto/jeep/avenger-1/avenger-12-altitude-keszletrol-az-ev-autoja-benzines-valtozata-2/e2z558g/
"19,763 EUR (7,790,000 HUF)",Toyota,Corolla,,"69,475 km",2020,,,,Brown,,90 kW (122 HP),,https://usedcars.leaseplan.com/hu-hu/toyota-corolla/1591141-hu-toyota-corolla.html
"22,808 EUR (8,990,000 HUF)",Volkswagen,Taigo,1.0 tsi,0 km,2024,Petrol,,Crossover,White,Kisvárda,70 kW (95 HP),Manual,https://www.szalonauto.hu/szemelyauto/volkswagen/taigo/volkswagen_taigo_1.0_tsi_life_tolatokamera_digit_klima_futheto_ulesek_keszletrol-20389159
"41,544 EUR (16,375,000 HUF)",Ford,Transit,2.0,1 km,2024,Petrol,,Van,,Szeged,101 kW (137 HP),Automatic,https://joautok.hu/hasznaltauto/ford/transit/transit-tourneo-custom-20-tdci-320-l1h1-titanium-9-szemelyes-keszletrol-fix-5-os-finanszirozas/0nmz9kc/
"42,992 EUR (16,946,000 HUF)",Ford,Transit,2.0,1 km,2024,Petrol,,Van,,Szeged,101 kW (137 HP),Automatic,https://joautok.hu/hasznaltauto/ford/transit/transit-tourneo-custom-20-tdci-320-l1h1-titanium-automata-9-szemelyes-keszletrol-fix-5-os-finanszirozas/0v38yba/
"8,346 EUR (3,290,000 HUF)",Renault,Megane,1.5 dCi,"170,319 km",2017,Diesel,,Hatchback,,Budakalász,81 kW (110 HP),Manual,https://joautok.hu/hasznaltauto/renault/megane/megane-15-dci-zen-mo-i-170e-km-vezerles-cserelve-elso-hatso-radar-afa-s-1/em6sx6y/
"12,659 EUR (4,990,000 HUF)",Opel,Mokka,1.6,"106,927 km",2017,Petrol,,Crossover,White,Budakalász,85 kW (116 HP),Manual,https://joautok.hu/hasznaltauto/opel/mokka-x/mokka-x-16-enjoy-start-stop-mo-i-106e-kmvonohoroge-h-radareules-kormanyfutes-riaszto-teli-gumi-afa-s-5/ks9252w/
