Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"15,495 EUR",Peugeot,2008,1.2 puretech,"115,750 km",2020,Petrol,Crossover,White,Valencia,100 kW (136 HP),Manual,http://tuad.es/peugeot-2008---puretech-100-ss-bvm6-active-15052072
"68,950 EUR",Bmw,8 Series,M850i xDrive,"99,999 km",2019,Petrol,Coupe,Black,Madrid,530 kW (721 HP),Automatic,https://coches.km77.com/bmw/serie-8/en-madrid/2360879/se-vende-bmw-serie-8-m850-xdrive-coupe-530cv-2019-68950-eur
"17,450 EUR",Hyundai,Kona,1.0 T-GDi,"58,000 km",2022,Petrol,Crossover,Black,Madrid,89 kW (121 HP),Manual,https://coches.km77.com/hyundai/kona/en-madrid/2346819/se-vende-hyundai-kona-10-tgdi-maxx-4x2-2022-17450-eur
"24,595 EUR",Audi,Q2,1.5 35 TFSI,"60,158 km",2019,Petrol,Crossover,White,Valencia,111 kW (151 HP),Automatic,https://www.auto10.com/segunda-mano/audi-q2-35-tfsi-design-s-tronic-110kw-5-p-en-valencia/12281214/ocasion
"17,900 EUR",Audi,A3,2.0 TDI S-Tronic,"169,700 km",2016,Diesel,Sedan,Black,Torres,150 kW (204 HP),Automatic,https://coches.km77.com/audi/a3/en-girona/2344853/se-vende-audi-a3-20-tdi-s-tronic-ambition-2016-17900-eur
"17,995 EUR",Audi,A3,1.6 TDI,"112,254 km",2018,Diesel,Sedan,Black,Valencia,116 kW (158 HP),Manual,https://www.granmanzana.es/coches/audi-a3-1-6-tdi-85kw-116cv-sportback-gmm5613622.htm
"12,990 EUR",Dacia,Sandero,0.9 tce,"70,760 km",2019,Petrol,Hatchback,White,Girona,90 kW (122 HP),Manual,https://coches.km77.com/dacia/sandero/en-barcelona/2324630/se-vende-dacia-sandero-sl-xplore-2019-12990-eur
"17,600 EUR",Opel,Crossland X,1.2,"101,729 km",2019,Petrol,Suv,Blue,Pontevedra,110 kW (150 HP),Manual,https://coches.km77.com/opel/crossland-x/en-coruna/2391394/se-vende-opel-crossland-x-12-81kw-110cv-design-line-s-s-2019-17600-eur
"36,900 EUR",Volkswagen,Tiguan,2.0 TDI 4Motion,"44,000 km",2021,Diesel,Crossover,Blue,El Prat De Llobregat,111 kW (151 HP),Automatic,https://coches.km77.com/volkswagen/tiguan/en-barcelona/2310312/se-vende-volkswagen-tiguan-rline-20-tdi-150cv-4motion-dsg-2021-36900-eur
"30,500 EUR",Mercedes Benz,Slk-Class,55 AMG,"125,440 km",2006,Petrol,Convertible,Black,Madrid,360 kW (490 HP),Automatic,https://coches.km77.com/mercedes-benz/slk/en-madrid/2360955/se-vende-mercedes-benz-slk-slk-55-amg-360cv-2006-30500-eur
"32,990 EUR",Bmw,X2,sDrive20i,"37,352 km",2020,Petrol,Suv,Gray,Pontevedra,228 kW (310 HP),Automatic,https://coches.km77.com/bmw/x2/en-barcelona/2337269/se-vende-bmw-x2-xdrive20i-auto-2020-32990-eur
"17,995 EUR",Hyundai,Tucson,1.6 GDi,"86,203 km",2019,Petrol,Suv,Brown,Marçà,131 kW (178 HP),Manual,https://coches.km77.com/hyundai/tucson/en-las-palmas/2371406/se-vende-hyundai-tucson-16-gdi-97kw-131cv-sle-4x2-2019-17995-eur
"23,900 EUR",Hyundai,Tucson,1.6 GDi,"70,000 km",2019,Petrol,Suv,Beige,Sabadell,131 kW (178 HP),Automatic,https://coches.km77.com/hyundai/tucson/en-barcelona/2335614/se-vende-hyundai-tucson-tucson-tgdi-16-177-cv-4x2-dct-tecno-2019-23900-eur
"29,900 EUR",Hyundai,Tucson,1.6 CRDi,"26,315 km",2019,Diesel,Suv,Black,Barcelona,101 kW (137 HP),Manual,https://coches.km77.com/hyundai/tucson/en-barcelona/2294967/se-vende-hyundai-tucson-16-crdi-100kw-48v-n-line-2wd-5p-2019-29900-eur
"10,900 EUR",Ford,Kuga,2.0 TDCi,"126,000 km",2009,Diesel,Suv,Brown,El Prat De Llobregat,140 kW (190 HP),Manual,https://coches.km77.com/ford/kuga/en-barcelona/2294048/se-vende-ford-kuga-20-tdci-140cv-con-techo-panoramico-y-cuero-completo-2009-10900-eur
"29,999 EUR",Bmw,X3,sDrive18d,"88,735 km",2019,Diesel,Suv,Blue,Sada,243 kW (330 HP),Automatic,https://coches.km77.com/bmw/x3/en-coruna/2391287/se-vende-bmw-x3-sdrive18d-2019-29999-eur
"14,995 EUR",Hyundai,Kona,1.0 T-GDi,"61,900 km",2020,Petrol,Crossover,White,Marçà,119 kW (162 HP),Manual,https://coches.km77.com/hyundai/kona/en-las-palmas/2364925/se-vende-hyundai-kona-10-tgdi-klass-4x2-2020-14995-eur
"14,995 EUR",Hyundai,Kona,1.0 T-GDi,"49,222 km",2020,Petrol,Crossover,Red,Marçà,119 kW (162 HP),Manual,https://coches.km77.com/hyundai/kona/en-las-palmas/2343633/se-vende-hyundai-kona-10-tgdi-klass-4x2-2020-14995-eur
"22,900 EUR",Peugeot,3008,1.5 bluehdi,"66,957 km",2019,Electric,Crossover,Red,Madrid,96 kW (131 HP),Manual,https://coches.km77.com/peugeot/3008/en-madrid/2397917/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-gt-line-2019-22900-eur
"22,900 EUR",Peugeot,3008,1.2 puretech,"55,031 km",2019,Petrol,Crossover,White,Madrid,96 kW (131 HP),Automatic,https://coches.km77.com/peugeot/3008/en-madrid/2397911/se-vende-peugeot-3008-12-puretech-96kw-ss-eat8-allure-2019-22900-eur
"20,990 EUR",Peugeot,3008,1.2 puretech,"54,614 km",2019,Petrol,Crossover,White,Madrid,97 kW (132 HP),Manual,https://coches.km77.com/peugeot/3008/en-madrid/2308154/se-vende-peugeot-3008-puretech-130-ss-active-96-kw-130-cv-2019-20990-eur
"28,990 EUR",Bmw,4 Series,420d,"94,009 km",2017,Diesel,Convertible,Red,Madrid,141 kW (192 HP),Automatic,https://coches.km77.com/bmw/4-series/en-madrid/2303957/se-vende-bmw-4-series-420d-automatica-2017-28990-eur
"17,995 EUR",Nissan,Juke,1.5 dCi,"56,622 km",2019,Diesel,Crossover,White,Madrid,82 kW (112 HP),Manual,https://coches.km77.com/nissan/juke/en-madrid/2287967/se-vende-nissan-juke-dci-e6c-81-kw-110-cv-6m-t-n-connecta-2019-17995-eur
"19,490 EUR",Ford,Ecosport,1.0 EcoBoost,"53,149 km",2019,Petrol,Suv,Blue,Madrid,125 kW (170 HP),Manual,https://coches.km77.com/ford/ecosport/en-madrid/2356982/se-vende-ford-ecosport-10t-ecoboost-92kw-125cv-ss-st-line-2019-19490-eur
"18,490 EUR",Hyundai,Santa Fe,2.2 CRDi,"151,730 km",2015,Diesel,Suv,White,Valladolid,200 kW (272 HP),Automatic,https://coches.km77.com/hyundai/santa-fe/en-madrid/2370361/se-vende-hyundai-santa-fe-22-crdi-style-brown-edition-auto-4x4-7s-2015-18490-eur
"12,500 EUR",Citroen,C3,1.2 puretech,"51,634 km",2019,Petrol,Hatchback,Gray,Granollers,110 kW (150 HP),Manual,https://coches.km77.com/citroen/c3/en-barcelona/2347186/se-vende-citroen-c3-puretech-81kw-110cv-ss-shine-2019-12500-eur
"19,990 EUR",Seat,Ateca,1.5 tsi,"64,847 km",2019,Petrol,Suv,White,San Sebastián De Los Reyes,150 kW (204 HP),Automatic,https://coches.km77.com/seat/ateca/en-madrid/2356953/se-vende-seat-ateca-15-tsi-110kw-150cv-dsg-stsp-style-2019-19990-eur
