Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Hyundai,I20,1.0,2019,Petrol,Hatchback,Blue,Ibbenbüren,Automatic,https://www.12gebrauchtwagen.de/c/4/1406489802?num_on_page=4&page=26&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,13990,66430,75.0,6,Germany
Hyundai,I10,1.0,2020,Petrol,Mini,Black,Perleberg,Automatic,https://www.12gebrauchtwagen.de/c/4/1428050810?num_on_page=3&page=13&premium=false&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,11480,60538,49.0,6,Germany
Hyundai,I10,1.0,2020,Petrol,Mini,White,Beckum,Manual,https://hey.car/vehicle/c06e6fbe-21d2-4137-bfe1-b9a9ce6e91ab?dealerId=b7d8f546-4f90-43cb-8462-570315e8d5a4,11490,35501,49.0,6,Germany
Ford,Transit Custom,2.0,2019,Diesel,Van,White,Leipzig,Manual,https://www.12gebrauchtwagen.de/c/4/1414011893?num_on_page=3&page=45&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,17950,147369,78.0,6,Germany
Ford,Transit Custom,1.0 EcoBoost,2019,Diesel,Van,White,Strausberg,Manual,https://www.12gebrauchtwagen.de/c/4/1419104697?num_on_page=3&page=27&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18500,145418,97.0,6,Germany
Hyundai,I30,1.0,2017,Petrol,Wagon,Black,Perleberg,Automatic,https://www.12gebrauchtwagen.de/c/4/1415682788?num_on_page=1&page=24&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,12990,94842,88.0,6,Germany
Opel,Crossland X,1.2,2022,Petrol,Suv,Gray,Coesfeld,Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/opel/crossland/elegancelednavirUckfahrkamerasitz-lenkradheiz-t4c836lv,16924,24750,97.0,6,Germany
Ford,S-Max,2.5,2023,Petrol,Mpv,Blue,Heilbronn,Automatic,https://hey.car/vehicle/550adf15-51ac-4f4c-afc7-4a0f2cc14409?dealerId=5eca524f-d157-4a56-b932-945572c808e1,51370,20,141.0,6,Germany
Dacia,Sandero,1.5 dCi,2018,Diesel,Hatchback,Black,Ostfildern,Manual,https://www.12gebrauchtwagen.de/c/4/1426265248?num_on_page=5&page=16&title=Dacia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,11691,120059,66.0,6,Germany
Audi,A1,1.0 25 TFSI,2019,Petrol,Mini,Yellow,Marktredwitz,Manual,https://www.12gebrauchtwagen.de/c/4/1424547747?num_on_page=1&page=31&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18835,21956,70.0,6,Germany
