Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"5,543 EUR (140,000 CZK)",Volvo,Xc90,2.4 D5,"378,189 km",2003,Diesel,Suv,Silver,Mikulov,120 kW (163 HP),Automatic,https://www.sauto.cz/osobni/detail/volvo/xc90/204508749
"26,923 EUR (679,900 CZK)",Land Rover,Evoque,2.0,"31,518 km",2019,Diesel,Suv,Red,Praha,110 kW (150 HP),Automatic,https://autocaris.cz/detail.php?inzerat=744879
"9,103 EUR (229,900 CZK)",Mini,Cooper,1.6 S,"159,788 km",2010,Petrol,Hatchback,Gray,Rudná,128 kW (174 HP),Manual,https://yauto.cz/mini/cooper-s/16-i-turbo-hatchback-benzin-865586/
"27,679 EUR (699,000 CZK)",Bmw,X5,D,"147,181 km",2014,Diesel,Suv,Black,Praha,280 kW (381 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X5/X5-3.0-d-Terenni-17102404340202786.html
"6,692 EUR (169,000 CZK)",Jeep,Compass,2.2 crd,"203,170 km",2011,Diesel,Crossover,Black,Praha,120 kW (163 HP),Manual,https://www.sauto.cz/osobni/detail/jeep/compass/202672474
"5,341 EUR (134,900 CZK)",Kia,Sorento,2.5 CRDi,"211,500 km",2006,Diesel,Suv,Black,Praha,103 kW (140 HP),Automatic,https://yauto.cz/kia/sorento/14-i-hatchback-benzin-526631/
"27,715 EUR (699,900 CZK)",Bmw,X5,30d,"163,705 km",2016,Diesel,Suv,Silver,Praha,190 kW (258 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/BMW/X5/X5-30d-xDrive-SUV-1708709753586166.html
"17,819 EUR (449,999 CZK)",Mercedes Benz,S-Class,350 CDI,"144,088 km",2010,Diesel,Sedan,Gray,Olbramovice,190 kW (258 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Mercedes-Benz/S/S-3.0-S-350-1-Sedan-Limuzina-170386945346332.html
"8,315 EUR (209,999 CZK)",Fiat,Freemont,2.0 mjet,"253,590 km",2015,Diesel,Crossover,Green,Praha,125 kW (170 HP),Automatic,https://www.annonce.cz/inzerat/fiat-freemont-2-0-mjt-72635137-wuep9m.html
"27,283 EUR (689,000 CZK)",Mercedes Benz,Cls-Class,63 AMG,"158,335 km",2010,Petrol,Sedan,Red,Praha,386 kW (525 HP),Automatic,https://www.sauto.cz/osobni/detail/mercedes-benz/cls/167998181
"27,715 EUR (699,900 CZK)",Volkswagen,Golf,2.0 GTI,"38,160 km",2021,Petrol,Hatchback,White,Praha,180 kW (245 HP),Automatic,https://www.sportovnivozy.cz/188182-volkswagen-golf-20-gti-dsg-led-navigac-2021
"23,755 EUR (599,900 CZK)",Škoda,Superb,2.0 TSI,"164,105 km",2019,Petrol,Sedan,Gray,Praha,200 kW (272 HP),Automatic,https://yauto.cz/skoda/superb/20-tsi-200kw-dsg-4x4-lk-acc-canton-keyless-navi-sedan-benzin-866587/
"6,494 EUR (164,000 CZK)",Citroen,C4,1.6 HDi,"123,767 km",2013,Diesel,Hatchback,Gray,Kroměříž,68 kW (92 HP),Manual,https://www.automodul.cz/citroen-c4-1-6-hdi-digiklima-temp-bt-c2638902
"36,822 EUR (929,900 CZK)",Cupra,Formentor,2.0 tsi vz,"23,763 km",2021,Petrol,Crossover,Gray,Praha,228 kW (310 HP),Automatic,https://www.sauto.cz/osobni/detail/cupra/formentor/205610406
"34,842 EUR (879,900 CZK)",Chevrolet,Colorado,2.8,"61,175 km",2018,Diesel,Pickup,Black,Praha,135 kW (184 HP),Automatic,https://www.automodul.cz/chevrolet-colorado-2-8-td-4x4-duramax-zr2-bose-c2600343
"2,653 EUR (66,999 CZK)",Audi,A4,2.0,"123,456 km",2001,Petrol,Sedan,White,Brno,96 kW (131 HP),Manual,https://yauto.cz/audi/a4/20-bez-koroze123tkm-sedan-benzin-857641/
"13,859 EUR (349,999 CZK)",Seat,Alhambra,2.0 TDI,"219,217 km",2014,Diesel,Mpv,Silver,Chomutov,130 kW (177 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Seat/Alhambra/Alhambra-2.0TDI-130k-Van-Minibus-171052063811295.html
"9,899 EUR (249,999 CZK)",Volvo,S80,3.0 T6,"183,192 km",2010,Petrol,Sedan,Blue,Olbramovice,224 kW (305 HP),Automatic,https://www.sauto.cz/osobni/detail/volvo/s80/203809926
"13,859 EUR (350,000 CZK)",Volkswagen,Sharan,2.0 TDI,"116,000 km",2012,Diesel,Van,Black,Lubenec,103 kW (140 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/sharan/202894396
"10,256 EUR (259,000 CZK)",Volkswagen,Tiguan,2.0 TDI,"209,817 km",2012,Diesel,Crossover,Red,Průhonice,103 kW (140 HP),Manual,https://www.annonce.cz/inzerat/volkswagen-tiguan-2-0-72592429-w5b9mf.html
"7,484 EUR (189,000 CZK)",Subaru,Outback,2.0 D,"202,000 km",2013,Diesel,Crossover,Gray,Žďár Nad Sázavou,110 kW (150 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Subaru/OUTBACK/OUTBACK-2-0D-AWD-A-Kombi-170862180231874.html
"27,715 EUR (699,900 CZK)",Mini,Cooper,,"18,447 km",2020,Electric,Hatchback,Green,Praha,75 kW (102 HP),Automatic,https://yauto.cz/mini/cooper/se-hatchback-elektro-842324/
"45,534 EUR (1,149,900 CZK)",Dodge,Challenger,6.4,"59,305 km",2020,Petrol,Coupe,Black,Praha,362 kW (492 HP),Automatic,https://yauto.cz/dodge/challenger/64-l-v8-srt-scat-pack-navigace-kamera-alpine-kupe-benzin-836191/
"15,403 EUR (388,999 CZK)",Volkswagen,Caddy,2.0 TDI,"144,400 km",2016,Diesel,Pickup,Blue,Olbramovice,75 kW (102 HP),Manual,https://www.automodul.cz/volkswagen-caddy-2-0-tdi-maxi-klima-7-mist-taz-c2647570
"84,701 EUR (2,138,999 CZK)",Bmw,X6,M50i xDrive,"18,600 km",2021,Petrol,Suv,Green,Olbramovice,390 kW (530 HP),Automatic,https://www.automodul.cz/bmw-x6-4-4-m50i-xdrive-individual-cz-c2710411
"3,167 EUR (79,999 CZK)",Mini,Cooper,1.6 S,"208,523 km",2007,LPG,Hatchback,White,Brno,128 kW (174 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Mini/Cooper-S/Cooper-S-1-6-LPG-Hatchback-170972866744194.html
"28,827 EUR (728,000 CZK)",Volkswagen,Sharan,2.0 TDI,"98,239 km",2020,Diesel,Van,Blue,Znojmo,110 kW (150 HP),Automatic,https://yauto.cz/volkswagen/sharan/sedan-nafta-523025/
"59,001 EUR (1,489,999 CZK)",Porsche,911,3.8 4S,"97,717 km",2007,Petrol,Convertible,Black,Olbramovice,261 kW (355 HP),Automatic,https://autocaris.cz/detail.php?inzerat=718990
"10,216 EUR (258,000 CZK)",Mazda,3,2.0 SKYACTIV,"98,869 km",2014,Petrol,Hatchback,Brown,Kroměříž,88 kW (120 HP),Manual,https://www.automodul.cz/mazda-3-2-0-i-skyactiv-1-maj-cr-c2645127
"9,820 EUR (247,999 CZK)",Audi,Q5,2.0,"230,123 km",2010,Diesel,Suv,White,Brno,125 kW (170 HP),Automatic,https://www.sauto.cz/osobni/detail/audi/q5/205366530
