Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Mazda,Cx-5,2.0,2023,Petrol,Crossover,Black,Halen,Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0527110/,41299,1,121.0,6,Belgium
Mazda,Cx-5,2.0,1998,Petrol,Crossover,Black,Turnhout,Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0550447/,41830,4,121.0,2,Belgium
Porsche,Taycan,4S,2021,Electric,Sedan,Silver,Wommelgem,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0558248/,82999,51191,324.0,6,Belgium
Audi,A1,1.0,2021,Petrol,Mini,Gray,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0480137/,26990,33000,86.0,6,Belgium
Saic,Marvel R,electro,2022,Electric,Crossover,White,Bastogne,Automatic,https://www.vroom.be/fr/voitures-occasion/mg-marvel-r-electrique-0551055/,31900,39135,140.0,6,Belgium
Porsche,Macan,3.0,2016,Petrol,Suv,Gray,Geel,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0325253/,58990,58237,268.0,6,Belgium
Audi,Q8,3.0,2022,Diesel,Suv,White,Hasselt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0379819/,79990,33996,344.0,6,Belgium
Audi,Q2,1.5,2021,Petrol,Crossover,Black,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0523075/,32990,40000,111.0,6,Belgium
Audi,Q2,1.5,2021,Petrol,Crossover,Black,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0562311/,28500,24571,111.0,6,Belgium
Mercedes Benz,Eqc,400,2021,Electric,Suv,Black,Tielt,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqc-400-electrique-0430139/,53975,11018,304.0,6,Belgium
Audi,Tt,2.5,2021,Petrol,Coupe,Green,Bredene,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-tt-essence-0328243/,69990,9371,298.0,6,Belgium
Peugeot,5008,2.0 HDi,2018,Diesel,Mpv,Gray,Vilvoorde,Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-5008-diesel-0546929/,27490,62604,131.0,6,Belgium
Porsche,Macan,2.0,2022,Petrol,Suv,Gray,Maldegem,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0412647/,81990,7000,197.0,6,Belgium
Mclaren,Gt,4.0,2023,Petrol,Coupe,Beige,Waterloo,Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527219/,220000,10,462.0,6,Belgium
Mclaren,Gt,4.0,2023,Petrol,Coupe,Gray,Waterloo,Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527218/,215000,10,462.0,6,Belgium
Audi,A5,2.0,2023,Diesel,Sedan,Black,Tongeren,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0544107/,44990,28427,152.0,6,Belgium
Jaguar,F-Pace,2.0,2017,Diesel,Crossover,Gray,Geel,Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-f-pace-diesel-0338062/,25990,105038,133.0,6,Belgium
Bmw,X4,M40i,2019,Petrol,Suv,Black,Kuurne,Automatic,https://www.autogids.be/detail-id--9480590--bmw-m40i-leder-pano-360/tweedehands.html,43890,83695,263.0,6,Belgium
Audi,S3,2.0 tfsi,2014,Petrol,Sedan,Gray,Oostkamp,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-s3-essence-0538295/,30990,44000,223.0,6,Belgium
