Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"30,872 EUR (29,800 CHF)",Škoda,Octavia,"11,300 km",2023,Diesel,Wagon,White,,Automatic,https://www.azw.ch/de/angebot/1076/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,111 kW (151 HP),6
"29,526 EUR (28,500 CHF)",Volkswagen,T-Cross,10 km,2024,Petrol,Crossover,Silver,,Automatic,https://www.azw.ch/de/angebot/1044/vw-t-cross-1-0-tsi-evo-style-r-line-aut-35?&page_number=8,1.0 tsi,82 kW (112 HP),6
"39,160 EUR (37,800 CHF)",Bmw,3 Series,"7,400 km",2023,Petrol,Sedan,Black,,Automatic,https://www.azw.ch/de/angebot/873/bmw-330e-m-sport-plug-in-hybrid-steptronic-automat?&page_number=2,330e,217 kW (295 HP),6
"30,872 EUR (29,800 CHF)",Cupra,Formentor,"29,100 km",2021,Petrol,Crossover,Red,,Automatic,https://www.azw.ch/de/angebot/67/cupra-formentor-2-0tsi-vz-4drive-dsg-automat?&page_number=3,2.0 tsi vz,231 kW (314 HP),6
"72,002 EUR (69,500 CHF)",Renault,Master,"1,000 km",2024,Diesel,Van,Gray,,Manual,https://www.azw.ch/de/angebot/171/renault-master-stx-pferdetransporter-2-3-dci-165?&page_number=5,2.3,121 kW (165 HP),6
"47,138 EUR (45,500 CHF)",Alfa Romeo,Tonale,58 km,2024,Hybrid,Crossover,Blue,,Automatic,https://www.azw.ch/de/angebot/1030/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-automat-31?&page_number=1,1.3,208 kW (283 HP),
"39,160 EUR (37,800 CHF)",Subaru,Solterra,8 km,2024,Electric,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/603/subaru-solterra-ev-luxury-71-4-kwh-awd-autom-38?&page_number=7,,162 kW (220 HP),
"39,160 EUR (37,800 CHF)",Subaru,Solterra,7 km,2024,Electric,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/716/subaru-solterra-ev-luxury-71-4-kwh-awd-autom-38?&page_number=7,,162 kW (220 HP),
"23,620 EUR (22,800 CHF)",Volkswagen,Passat,"31,500 km",2021,Diesel,Wagon,Silver,,Automatic,https://www.azw.ch/de/angebot/995/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,2.0 TDI,111 kW (151 HP),6
"23,310 EUR (22,500 CHF)",Volkswagen,Passat,"40,100 km",2020,Diesel,Wagon,Black,,Automatic,https://www.azw.ch/de/angebot/991/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,2.0 TDI,111 kW (151 HP),6
"36,570 EUR (35,300 CHF)",Seat,Alhambra,"39,100 km",2022,Petrol,Mpv,Black,,Automatic,https://www.azw.ch/de/angebot/919/seat-alhambra-1-4-tsi-fr-line-7-plaetzer-dsg-automat?&page_number=5,1.4 TSI,111 kW (151 HP),6
"32,944 EUR (31,800 CHF)",Škoda,Octavia,"8,100 km",2023,Diesel,Wagon,Black,,Automatic,https://www.azw.ch/de/angebot/1142/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,111 kW (151 HP),
"32,944 EUR (31,800 CHF)",Škoda,Octavia,"6,100 km",2023,Diesel,Wagon,Blue,,Automatic,https://www.azw.ch/de/angebot/1141/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,111 kW (151 HP),6
"20,616 EUR (19,900 CHF)",Volkswagen,T-Cross,"26,100 km",2022,Petrol,Crossover,Silver,,Automatic,https://www.azw.ch/de/angebot/1066/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=8,1.0 tsi,82 kW (112 HP),6
"46,102 EUR (44,500 CHF)",Škoda,Kodiaq,21 km,2024,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1117/skoda-kodiaq-2-0-tdi-cr-sportline-4x4-dsg-automat-7-plaetzer-30?&page_number=6,2.0 2.0 4x4 tdi,149 kW (203 HP),
"34,706 EUR (33,500 CHF)",Bmw,2 Series,"15,200 km",2022,Diesel,Sedan,Gray,,Automatic,https://www.azw.ch/de/angebot/1180/bmw-220d-gran-coupe-m-sport-steptronic-aut?&page_number=2,220D,141 kW (192 HP),6
"27,764 EUR (26,800 CHF)",Seat,Ateca,18 km,2024,Petrol,Suv,White,,Automatic,https://www.azw.ch/de/angebot/1113/seat-ateca-1-5-tsi-evo-style-dsg-auto-30?&page_number=6,1.5 tsi,111 kW (151 HP),
