Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"41,900 EUR",Volvo,V60 Cross Country,2.0,"113,300 km",2020,Diesel,Wagon,Gray,Lisboa,141 kW (192 HP),Automatic,https://www.abmotor.pt/carros/Volvo/V60%20cross%20country/482362/
"17,990 EUR",Fiat,500,1.0,3 km,2023,Hybrid,Mini,Black,Braga,52 kW (71 HP),Manual,https://www.abmotor.pt/carros/Fiat/500/483193/
"17,990 EUR",Peugeot,Partner,1.6,"84,000 km",2015,Petrol,Pickup,White,Lisboa,68 kW (92 HP),Automatic,https://auto.sapo.pt/carro-usado/65d774c48204cc01f6476c72/peugeot-partner-tepee-16-e-hdi-active-etg6
"27,750 EUR",Fiat,Talento,1.6,"162,946 km",2018,Diesel,Van,White,Lisboa,,Manual,https://auto.sapo.pt/carro-usado/65b12e98fb680231f4ddaeb8/fiat-talento
"25,990 EUR",Fiat,Talento,1.6,"160,988 km",2018,Diesel,Van,White,Vila Nova De Famalicão,,Manual,https://auto.sapo.pt/carro-usado/65437d339124df0c985cab18/fiat-talento-16-m-jet-l1h1-panorama
"19,950 EUR",Fiat,Talento,1.6,"150,988 km",2018,Diesel,Van,White,Aveiro,,Manual,https://auto.sapo.pt/carro-usado/65f2c1c2ec0bf54df3ab507f/fiat-talento
"28,980 EUR",Fiat,Talento,1.6,"134,532 km",2018,Diesel,Van,White,Leiria,,Manual,https://auto.sapo.pt/carro-usado/6543e1ff4f41531458f4a584/fiat-talento-16-m-jet-l1h1
"6,995 EUR",Lancia,Ypsilon,1.2,"150,000 km",2013,Petrol,Hatchback,Black,Lisboa,,Manual,https://auto.sapo.pt/carro-usado/659419d34750e485bfd76b06/lancia-ypsilon-12-16v-fashion
"13,900 EUR",Citroen,C3,1.2 puretech,"95,000 km",2017,Petrol,Hatchback,Black,Leiria,,Manual,https://auto.sapo.pt/carro-usado/6534093eb722893ff631d431/citroen-c3-12-puretech-shine
"11,950 EUR",Citroen,C3,1.2 puretech,"95,000 km",2017,Petrol,Hatchback,Green,Belas,,Manual,https://auto.sapo.pt/carro-usado/65e8503ec418f980b7e2eef9/citroen-c3-12-puretech-shine
"12,990 EUR",Citroen,C3,1.2 puretech,"92,000 km",2017,Petrol,Hatchback,Black,Maia,,Manual,https://auto.sapo.pt/carro-usado/65a671d4db42dbfbe611e8d7/citroen-c3-12-puretech-feel
"13,850 EUR",Citroen,C3,1.6,"88,000 km",2017,Diesel,Hatchback,Black,Leiria,,Manual,https://auto.sapo.pt/carro-usado/65e98ee6cd6ac416f863beb3/citroen-c3
"11,999 EUR",Citroen,C3,1.2,"48,434 km",2017,Petrol,Hatchback,White,Sintra,,Manual,https://auto.sapo.pt/carro-usado/65f41028f21d0694bdbae2a0/citroen-c3
"18,990 EUR",Seat,Ateca,1.6 TDI,"88,422 km",2017,Diesel,Suv,Orange,Lisboa,,Manual,https://auto.sapo.pt/carro-usado/65ca6fd17e70e235c0f492f9/seat-ateca-16-tdi-style
"19,900 EUR",Seat,Ateca,1.6 TDI,"81,266 km",2017,Diesel,Suv,Gray,Barreiro,,Manual,https://auto.sapo.pt/carro-usado/6517ed7a017fac705a453388/seat-ateca-16-tdi-style
"13,990 EUR",Citroen,C4 Cactus,1.6,"159,000 km",2014,Diesel,Hatchback,White,Sesimbra,,,https://auto.sapo.pt/carro-usado/6524615dd512ba5d334c0e15/citroen-c4-cactus-16-e-hdi-shine-etg6-92g
"19,990 EUR",Seat,Ateca,1.6 TDI,"62,168 km",2017,Diesel,Suv,Gray,Lisboa,,Manual,https://auto.sapo.pt/carro-usado/65ca728d7e70e235c0f49770/seat-ateca-16-tdi-style
"13,999 EUR",Citroen,C4 Cactus,1.6,"122,544 km",2014,Diesel,Hatchback,Black,Feira,,,https://auto.sapo.pt/carro-usado/65d373472e166ba2269b3551/citroen-c4-cactus
"13,499 EUR",Citroen,C4 Cactus,1.6,"122,544 km",2014,Diesel,Hatchback,Black,Feira,,,https://auto.sapo.pt/carro-usado/65a255e5a8348f4de8993371/citroen-c4-cactus
"10,950 EUR",Citroen,C4 Cactus,1.2,"108,770 km",2014,Petrol,Hatchback,White,Braga,,Manual,https://auto.sapo.pt/carro-usado/65b27cd5eb0dc09639ae77d9/citroen-c4-cactus-12-puretech-feel
"10,990 EUR",Citroen,C4 Cactus,1.2,"104,281 km",2014,Petrol,Hatchback,Gray,Vila Nova De Famalicão,,Manual,https://auto.sapo.pt/carro-usado/65ed7843076fd9d0af2f26e6/citroen-c4-cactus-12-puretech-shine
"24,500 EUR",Bmw,X3,D,"195,000 km",2014,Diesel,Suv,White,Marinha Grande,,,https://auto.sapo.pt/carro-usado/6579ce70256d375e81206e62/bmw-x3-20-d-xdrive-xline-auto
"20,990 EUR",Bmw,X3,D,"140,000 km",2014,Diesel,Suv,Black,Matosinhos,,,https://auto.sapo.pt/carro-usado/654f5aa44b6c32f3a9d589e1/bmw-x3-18-d-sdrive-pack-m-auto
"135,000 EUR",Bmw,X6,,"23,500 km",2023,Diesel,Suv,Black,Lisboa,,,https://auto.sapo.pt/carro-usado/659436bf0877a4c0bf56518b/bmw-x6-40-d-xdrive-pack-m
"65,000 EUR",Ford,F150,3.0,"60,489 km",2019,Diesel,Pickup,Silver,Esmoriz,,,https://auto.sapo.pt/carro-usado/657ac48c256d375e8120a8b6/ford-f-150
"9,900 EUR",Fiat,500c,1.2,"130,000 km",2012,Petrol,Convertible,White,Lisboa,,Manual,https://auto.sapo.pt/carro-usado/6516b212733de209e37571ed/fiat-500c-12-cult
"16,800 EUR",Ford,Grand C-Max,1.6,"102,300 km",2016,Diesel,Mpv,Gray,Valongo,,Manual,https://auto.sapo.pt/carro-usado/65df066d064b110ff6bc2bb3/ford-grand-c-max-15-tdci-titanium-ss
"18,790 EUR",Volkswagen,Caddy,2.0,"87,000 km",2019,Diesel,Pickup,White,Porto,,Manual,https://auto.sapo.pt/carro-usado/65cddd5bfa7067d9e1cbce0c/volkswagen-caddy
"17,980 EUR",Volkswagen,Caddy,2.0 TDI,"38,503 km",2019,Diesel,Pickup,White,Leiria,,Manual,https://auto.sapo.pt/carro-usado/65b7c843da7752fa3e5b4fa4/volkswagen-caddy-20-tdi-fleet-edition-bluemotion
"12,500 EUR",Volkswagen,Polo,1.4,"137,000 km",2016,Diesel,Hatchback,Gray,Leiria,,Manual,https://auto.sapo.pt/carro-usado/659433ec0877a4c0bf5646dd/volkswagen-polo
